rule,n,all_final,all_ann,all_mdd,all_sharpe,all_win,all_pl,all_mean,train_n,train_ann,train_mdd,train_sharpe,test_n,test_ann,test_mdd,test_sharpe,test_final,score
"turnover_rate in [19.06,55.09] AND sell_reason == 未涨停卖出",603,80.63744922876289,5.990717525708027,-0.16219917767096048,7.123477895373846,0.603648424543947,2.021745598257883,1.5425304556394168,517,4.875950914521282,-0.16219917767096048,6.6398682836673855,82,25.936250652177492,-0.04643960080875842,9.800834927018022,2.421228216870309,29.77570188810852
"limit_days in [5,16] AND sell_reason == 未涨停卖出",462,56.17964561718405,4.830462917485714,-0.17662960789167992,5.26311886104304,0.5238095238095238,2.5350694497455373,1.4404087106363255,396,3.660884906840584,-0.17662960789167992,4.795486259285567,65,23.879206735706546,-0.05911242089708768,7.394614958703777,2.6111922845679434,26.732716750886905
"turnover_rate in [15.85,55.09] AND sell_reason == 未涨停卖出",806,103.41777694133619,6.805261107697632,-0.10704755360524154,6.6507513653487615,0.5682382133995038,2.1368155878701187,1.4101842714369586,696,5.819512414432675,-0.10704755360524154,6.258959671280016,106,21.784270915631303,-0.05601323795902313,9.212467852839302,2.314812053564901,25.99617077693788
"turnover_rate in [22.44,55.09] AND sell_reason == 未涨停卖出",396,81.8769003913664,6.105426188868022,-0.12713462951939525,8.056772263057757,0.6540404040404041,2.2254616276716304,2.0281662108232124,338,5.119802919250885,-0.12713462951939525,7.485397871997589,55,21.688986524504244,-0.03391260816190267,11.702715577575507,2.2536339758209882,25.843286132660285
"avg_limit_turnover_5 in [9.603,51.68] AND sell_reason == 未涨停卖出",1018,37.972587461680426,3.9689432132292657,-0.15649455871855367,5.068305716693874,0.5343811394891945,1.9525331052154695,1.0149051325949152,876,3.0457801585334243,-0.15649455871855367,4.487151890451873,139,20.36404748108646,-0.03919529704180191,8.71646619238507,2.352787997214888,22.881001055171048
"pre_close_sma7_pct in [3.427,7.04] AND limit_days in [4,16]",187,1.9645630589196161,0.35413846744143385,-0.21956883883578515,1.9372712892111874,0.47058823529411764,1.6562172107555033,0.5846998355806803,166,-0.04738596277861806,-0.21956883883578515,-0.06051973210591927,20,22.20717486535702,-0.059491493454271294,8.691677487036243,2.0977950509141334,22.541190395082808
"open_pct in [-5,-3.511] AND limit_days in [5,16]",304,2.921571304533321,0.6153702565152839,-0.32186824608958586,2.0603628638535905,0.4375,1.6750709828223718,0.4733875167576005,265,0.12634194173648505,-0.32186824608958586,0.8810137108084101,39,21.160546788175665,-0.06607569722301798,6.74121104828365,2.3172114310569127,21.602752483203115
"limit_days in [4,16] AND sell_reason == 未涨停卖出",816,39.33093936688423,3.8665722092823724,-0.2303690104727948,4.869780503169849,0.5012254901960784,2.1831536427812948,1.0245945026812895,696,2.907762097637327,-0.2303690104727948,4.382558274995746,116,17.70723874062502,-0.053392170446522336,7.101403345486852,2.6404620148981026,20.10837980485439
"pre_close_sma7_pct in [0.01286,7.04] AND limit_days in [5,16]",204,3.8934617474178697,0.8246472576246804,-0.3269797373580652,3.2597317817779556,0.5049019607843137,1.6207915715159416,0.7846080673760973,181,0.32377901383287067,-0.3269797373580652,1.9869714689922933,23,19.124686358653957,-0.06496437826725865,9.423286646158017,2.2389394014869812,19.906040032792355
"avg_limit_turnover_5 in [9.603,23.36] AND sell_reason == 未涨停卖出",819,22.925965113890943,3.004721419139905,-0.13126026231540378,4.665948655207641,0.518925518925519,1.8570008389263908,0.8484297760490563,711,2.249420415763788,-0.13126026231540378,3.972996748363294,106,17.378427386327562,-0.030247181670865375,9.955282152089184,2.202530798338322,19.421203734415553
"pre_close_sma7_pct in [3.427,7.04] AND limit_days in [3,16]",276,1.3691751798727774,0.1514998577539235,-0.35758493846780093,0.926487538383871,0.427536231884058,1.5815893032077173,0.22848665217094027,252,-0.19509090729363465,-0.35758493846780093,-0.99851547558667,23,18.842812015307633,-0.059491493454271405,8.001521674946884,2.038410867031027,18.900818322610455
"turnover_rate in [10.9,55.09] AND sell_reason == 未涨停卖出",1227,130.32634648681943,7.341136939350298,-0.12716088983771046,6.110454023738156,0.5476772616136919,2.0513651034344424,1.2173666441584754,1067,6.829202261588167,-0.12716088983771046,5.760406765069693,155,12.173742343220392,-0.04884166617184482,8.7588960725621,2.2058805449273273,16.786013445676183
