datetime,code,name,volume,avg_cost,close,market_value,pnl,profit
2022-02-08,SZSE.000017,深中华A,1800,3.37,3.53,6354.0,288.0,0.04747774480712166
2022-02-08,SHSE.603709,中源家居,300,16.1,16.46,4938.0,108.0,0.02236024844720497
2022-02-08,SHSE.600455,博通股份,200,21.41,21.9,4380.0,98.0,0.022886501634750117
2022-02-08,SHSE.603389,*ST亚振,1200,5.02,5.23,6276.000000000001,252.00000000000182,0.04183266932270947
2022-02-09,SZSE.000017,深中华A,1800,3.37,3.52,6336.0,270.0,0.04451038575667656
2022-02-09,SHSE.603709,中源家居,300,16.1,16.45,4935.0,105.0,0.021739130434782608
2022-02-09,SHSE.600455,博通股份,200,21.41,22.23,4446.0,164.0,0.03829985987856142
2022-02-09,SHSE.603389,*ST亚振,1200,5.02,5.22,6264.0,240.0000000000009,0.03984063745019936
2022-02-10,SZSE.000017,深中华A,1800,3.37,3.51,6318.0,252.0,0.04154302670623145
2022-02-10,SHSE.603709,中源家居,300,16.1,16.41,4923.0,93.0,0.019254658385093167
2022-02-10,SHSE.600455,博通股份,200,21.41,22.2,4440.0,158.0,0.036898645492760396
2022-02-10,SHSE.603389,*ST亚振,1200,5.02,5.19,6228.000000000001,204.00000000000182,0.03386454183266963
2022-02-11,SZSE.000017,深中华A,1800,3.37,3.43,6174.0,108.0,0.017804154302670624
2022-02-11,SHSE.603709,中源家居,300,16.1,16.11,4833.0,3.0,0.0006211180124223603
2022-02-11,SHSE.600455,博通股份,200,21.41,21.69,4338.0,56.0,0.013078000934142924
2022-02-11,SHSE.603389,*ST亚振,1200,5.02,5.03,6036.0,12.00000000000091,0.0019920318725101115
2022-02-14,SZSE.000017,深中华A,1800,3.37,3.43,6174.0,108.0,0.017804154302670624
2022-02-14,SHSE.603709,中源家居,300,16.1,16.3,4890.0,60.0,0.012422360248447204
2022-02-14,SHSE.600455,博通股份,200,21.41,22.21,4442.0,160.0,0.03736571695469407
2022-02-14,SHSE.603389,*ST亚振,1200,5.02,5.15,6180.0,156.0000000000009,0.025896414342629636
2022-02-15,SZSE.000017,深中华A,900,3.47,3.37,3033.0,-90.0,-0.02881844380403458
2022-02-15,SHSE.603709,中源家居,100,16.3,16.3,1630.0,0.0,0.0
2022-02-15,SHSE.603389,*ST亚振,600,5.15,5.06,3035.9999999999995,-54.000000000000455,-0.017475728155339952
2022-02-15,SHSE.600137,浪莎股份,200,14.23,14.08,2816.0,-30.0,-0.010541110330288124
2022-02-16,SZSE.000017,深中华A,900,3.47,3.43,3087.0,-36.0,-0.011527377521613832
2022-02-16,SHSE.603709,中源家居,100,16.3,16.71,1671.0,41.0,0.025153374233128835
2022-02-16,SHSE.603389,*ST亚振,600,5.15,5.25,3150.0,60.0,0.019417475728155338
2022-02-16,SHSE.600137,浪莎股份,200,14.23,14.54,2908.0,62.0,0.02178496134926212
2022-02-17,SZSE.000017,深中华A,900,3.47,3.39,3051.0,-72.0,-0.023054755043227664
2022-02-17,SHSE.603709,中源家居,100,16.3,16.77,1677.0,47.0,0.02883435582822086
2022-02-17,SHSE.603389,*ST亚振,600,5.15,5.42,3252.0,162.0,0.05242718446601942
2022-02-17,SHSE.600137,浪莎股份,200,14.23,14.86,2972.0,126.0,0.04427266338721012
2022-02-18,SZSE.000017,深中华A,900,3.47,3.47,3123.0,0.0,0.0
2022-02-18,SHSE.603709,中源家居,100,16.3,16.83,1682.9999999999998,52.99999999999977,0.032515337423312744
2022-02-18,SHSE.603389,*ST亚振,600,5.15,5.21,3126.0,36.0,0.011650485436893204
2022-02-18,SHSE.600137,浪莎股份,200,14.23,14.9,2980.0,134.0,0.04708362614195362
2022-02-21,SZSE.000017,深中华A,900,3.47,3.49,3141.0,18.0,0.005763688760806916
2022-02-21,SHSE.603709,中源家居,100,16.3,17.01,1701.0000000000002,71.00000000000023,0.043558282208589094
2022-02-21,SHSE.603389,*ST亚振,600,5.15,5.43,3258.0,168.0,0.05436893203883495
2022-02-21,SHSE.600137,浪莎股份,200,14.23,14.97,2994.0,148.0,0.05200281096275474
2022-02-22,SZSE.000017,深中华A,900,3.47,3.54,3186.0,63.0,0.020172910662824207
2022-02-22,SHSE.603709,中源家居,100,17.01,16.88,1688.0,-13.000000000000227,-0.0076425631981188865
2022-02-22,SHSE.603389,*ST亚振,500,5.35,5.36,2680.0,5.0,0.001869158878504673
2022-02-22,SHSE.600137,浪莎股份,200,14.91,14.82,2964.0,-18.0,-0.006036217303822937
2022-02-23,SZSE.000017,深中华A,900,3.47,3.56,3204.0,81.0,0.025936599423631124
2022-02-23,SHSE.603709,中源家居,100,17.01,16.95,1695.0,-6.000000000000227,-0.0035273368606703274
2022-02-23,SHSE.603389,*ST亚振,500,5.35,5.43,2715.0,40.0,0.014953271028037384
2022-02-23,SHSE.600137,浪莎股份,200,14.91,14.96,2992.0,10.0,0.00335345405767941
2022-02-24,SZSE.000017,深中华A,900,3.47,3.92,3528.0,405.0,0.12968299711815562
2022-02-24,SHSE.603709,中源家居,100,17.01,16.51,1651.0000000000002,-50.0,-0.02939447383891828
2022-02-24,SHSE.603389,*ST亚振,500,5.35,5.28,2640.0,-35.0,-0.013084112149532711
2022-02-24,SHSE.600137,浪莎股份,200,14.91,14.51,2902.0,-80.0,-0.02682763246143528
2022-02-25,SZSE.000017,深中华A,900,3.47,4.0,3600.0,477.0,0.15273775216138327
2022-02-25,SHSE.603709,中源家居,100,17.01,16.78,1678.0,-23.000000000000227,-0.013521457965902543
2022-02-25,SHSE.603389,*ST亚振,500,5.35,5.33,2665.0,-10.0,-0.003738317757009346
2022-02-25,SHSE.600137,浪莎股份,200,14.91,14.84,2968.0,-14.0,-0.004694835680751174
