datetime,cash,holding_value,total_value
2022-01-04,100000.0,0.0,100000.0
2022-01-05,100000.0,0.0,100000.0
2022-01-06,100000.0,0.0,100000.0
2022-01-07,100000.0,0.0,100000.0
2022-01-10,100000.0,0.0,100000.0
2022-01-11,100000.0,0.0,100000.0
2022-01-12,100000.0,0.0,100000.0
2022-01-13,100000.0,0.0,100000.0
2022-01-14,100000.0,0.0,100000.0
2022-01-17,100000.0,0.0,100000.0
2022-01-18,100000.0,0.0,100000.0
2022-01-19,100000.0,0.0,100000.0
2022-01-20,100000.0,0.0,100000.0
2022-01-21,100000.0,0.0,100000.0
2022-01-24,100000.0,0.0,100000.0
2022-01-25,100000.0,0.0,100000.0
2022-01-26,100000.0,0.0,100000.0
2022-01-27,100000.0,0.0,100000.0
2022-01-28,100000.0,0.0,100000.0
2022-02-07,100000.0,0.0,100000.0
2022-02-08,78791.63940000001,21948.0,100739.63940000001
2022-02-09,78791.63940000001,21981.0,100772.63940000001
2022-02-10,78791.63940000001,21909.0,100700.63940000001
2022-02-11,78791.63940000001,21381.0,100172.63940000001
2022-02-14,78791.63940000001,21686.0,100477.63940000001
2022-02-15,89838.90890000001,10515.0,100353.90890000001
2022-02-16,89838.90890000001,10816.0,100654.90890000001
2022-02-17,89838.90890000001,10952.0,100790.90890000001
2022-02-18,89838.90890000001,10912.0,100750.90890000001
2022-02-21,89838.90890000001,11094.0,100932.90890000001
2022-02-22,90367.45980000001,10518.0,100885.45980000001
2022-02-23,90367.45980000001,10606.0,100973.45980000001
2022-02-24,90367.45980000001,10721.0,101088.45980000001
2022-02-25,90367.45980000001,10911.0,101278.45980000001
2022-02-28,90367.45980000001,10588.0,100955.45980000001
2022-03-01,91371.383,9699.0,101070.383
2022-03-02,91371.383,9845.0,101216.383
2022-03-03,91371.383,9779.0,101150.383
2022-03-04,91371.383,9691.0,101062.383
2022-03-07,91371.383,9607.0,100978.383
2022-03-08,91365.63379999998,9311.0,100676.63379999998
2022-03-09,91365.63379999998,9251.0,100616.63379999998
2022-03-10,91365.63379999998,9438.0,100803.63379999998
2022-03-11,91365.63379999998,9552.0,100917.63379999998
2022-03-14,91365.63379999998,9449.0,100814.63379999998
2022-03-15,90294.6551,9899.0,100193.6551
2022-03-16,90294.6551,10250.0,100544.6551
2022-03-17,90294.6551,10312.0,100606.6551
2022-03-18,90294.6551,10483.0,100777.6551
2022-03-21,90294.6551,10560.0,100854.6551
2022-03-22,91017.54859999998,9908.0,100925.54859999998
2022-03-23,91017.54859999998,9822.0,100839.54859999998
2022-03-24,91017.54859999998,9714.0,100731.54859999998
2022-03-25,91017.54859999998,10091.0,101108.54859999998
2022-03-28,91017.54859999998,9936.0,100953.54859999998
2022-03-29,91320.67909999996,9493.0,100813.67909999996
2022-03-30,91320.67909999996,9574.0,100894.67909999996
2022-03-31,91320.67909999996,9632.0,100952.67909999996
2022-04-01,91320.67909999996,9477.0,100797.67909999996
2022-04-06,91320.67909999996,10043.0,101363.67909999996
2022-04-07,101418.64879999997,0.0,101418.64879999997
2022-04-08,101418.64879999997,0.0,101418.64879999997
2022-04-11,101418.64879999997,0.0,101418.64879999997
2022-04-12,101418.64879999997,0.0,101418.64879999997
2022-04-13,101418.64879999997,0.0,101418.64879999997
2022-04-14,101418.64879999997,0.0,101418.64879999997
2022-04-15,101418.64879999997,0.0,101418.64879999997
2022-04-18,101418.64879999997,0.0,101418.64879999997
2022-04-19,101418.64879999997,0.0,101418.64879999997
2022-04-20,101418.64879999997,0.0,101418.64879999997
2022-04-21,101418.64879999997,0.0,101418.64879999997
2022-04-22,101418.64879999997,0.0,101418.64879999997
2022-04-25,101418.64879999997,0.0,101418.64879999997
2022-04-26,101418.64879999997,0.0,101418.64879999997
2022-04-27,101418.64879999997,0.0,101418.64879999997
2022-04-28,101418.64879999997,0.0,101418.64879999997
2022-04-29,101418.64879999997,0.0,101418.64879999997
2022-05-05,101418.64879999997,0.0,101418.64879999997
2022-05-06,101418.64879999997,0.0,101418.64879999997
2022-05-09,101418.64879999997,0.0,101418.64879999997
2022-05-10,78258.70289999996,23579.0,101837.70289999996
2022-05-11,78258.70289999996,23453.0,101711.70289999996
2022-05-12,78258.70289999996,23665.0,101923.70289999996
2022-05-13,78258.70289999996,24143.0,102401.70289999996
2022-05-16,78258.70289999996,24330.0,102588.70289999996
2022-05-17,93238.57969999996,9293.0,102531.57969999996
2022-05-18,93238.57969999996,9462.0,102700.57969999996
2022-05-19,93238.57969999996,9580.0,102818.57969999996
2022-05-20,93238.57969999996,9710.0,102948.57969999996
2022-05-23,93238.57969999996,9904.0,103142.57969999996
2022-05-24,93232.65229999994,9505.0,102737.65229999994
2022-05-25,93232.65229999994,9745.0,102977.65229999994
2022-05-26,93232.65229999994,9837.0,103069.65229999994
2022-05-27,93232.65229999994,9985.0,103217.65229999994
2022-05-30,93232.65229999994,10074.0,103306.65229999994
2022-05-31,93362.65469999993,9938.0,103300.65469999993
2022-06-01,93362.65469999993,10049.0,103411.65469999993
2022-06-02,93362.65469999993,10201.0,103563.65469999993
2022-06-06,93362.65469999993,10574.0,103936.65469999993
2022-06-07,93362.65469999993,10226.0,103588.65469999993
2022-06-08,93385.51339999994,10162.0,103547.51339999994
2022-06-09,93385.51339999994,10130.0,103515.51339999994
2022-06-10,93385.51339999994,10249.0,103634.51339999994
2022-06-13,93385.51339999994,10318.0,103703.51339999994
2022-06-14,93385.51339999994,10239.0,103624.51339999994
2022-06-15,93625.44019999995,9987.0,103612.44019999995
2022-06-16,93625.44019999995,10194.0,103819.44019999995
2022-06-17,93625.44019999995,10023.0,103648.44019999995
2022-06-20,93625.44019999995,10133.0,103758.44019999995
2022-06-21,93625.44019999995,10174.0,103799.44019999995
2022-06-22,93439.30159999995,10138.0,103577.30159999995
2022-06-23,93439.30159999995,10245.0,103684.30159999995
2022-06-24,93439.30159999995,10375.0,103814.30159999995
2022-06-27,93439.30159999995,10378.0,103817.30159999995
2022-06-28,93439.30159999995,10770.0,104209.30159999995
2022-06-29,93706.93559999994,10145.0,103851.93559999994
2022-06-30,93706.93559999994,10065.0,103771.93559999994
2022-07-01,93706.93559999994,10064.0,103770.93559999994
2022-07-04,93706.93559999994,10217.0,103923.93559999994
2022-07-05,93706.93559999994,10106.0,103812.93559999994
2022-07-06,93872.95839999994,9676.0,103548.95839999994
2022-07-07,93872.95839999994,9841.0,103713.95839999994
2022-07-08,93872.95839999994,10025.0,103897.95839999994
2022-07-11,93872.95839999994,9942.0,103814.95839999994
2022-07-12,93872.95839999994,9789.0,103661.95839999994
2022-07-13,93270.91879999996,10567.0,103837.91879999996
2022-07-14,93270.91879999996,10528.0,103798.91879999996
2022-07-15,93270.91879999996,10157.0,103427.91879999996
2022-07-18,93270.91879999996,10645.0,103915.91879999996
2022-07-19,93270.91879999996,10816.0,104086.91879999996
2022-07-20,93504.49399999996,10589.0,104093.49399999996
2022-07-21,93504.49399999996,10587.0,104091.49399999996
2022-07-22,93504.49399999996,10727.0,104231.49399999996
2022-07-25,93504.49399999996,10828.0,104332.49399999996
2022-07-26,93504.49399999996,11030.0,104534.49399999996
2022-07-27,93690.9411,10963.0,104653.9411
2022-07-28,93690.9411,10920.0,104610.9411
2022-07-29,93690.9411,10934.0,104624.9411
2022-08-01,93690.9411,11024.0,104714.9411
2022-08-02,93690.9411,10475.0,104165.9411
2022-08-03,94005.73739999998,10181.0,104186.73739999998
2022-08-04,94005.73739999998,10526.0,104531.73739999998
2022-08-05,94005.73739999998,10577.0,104582.73739999998
2022-08-08,94005.73739999998,10842.0,104847.73739999998
2022-08-09,94005.73739999998,10874.0,104879.73739999998
2022-08-10,94263.26939999999,10761.0,105024.26939999999
2022-08-11,94263.26939999999,10764.0,105027.26939999999
2022-08-12,94263.26939999999,10761.0,105024.26939999999
2022-08-15,94263.26939999999,10762.0,105025.26939999999
2022-08-16,94263.26939999999,10849.0,105112.26939999999
2022-08-17,94256.7744,10895.0,105151.7744
2022-08-18,94256.7744,10780.0,105036.7744
2022-08-19,94256.7744,10671.0,104927.7744
2022-08-22,94256.7744,10733.0,104989.7744
2022-08-23,94256.7744,10889.0,105145.7744
2022-08-24,93936.193,10949.0,104885.193
2022-08-25,93936.193,10903.0,104839.193
2022-08-26,93936.193,10868.0,104804.193
2022-08-29,93936.193,11119.0,105055.193
2022-08-30,93936.193,11122.0,105058.193
2022-08-31,93971.54440000001,10791.0,104762.54440000001
2022-09-01,93971.54440000001,10786.0,104757.54440000001
2022-09-02,93971.54440000001,11090.0,105061.54440000001
2022-09-05,93971.54440000001,11236.0,105207.54440000001
2022-09-06,93971.54440000001,11284.0,105255.54440000001
2022-09-07,94282.85440000001,11038.0,105320.85440000001
2022-09-08,94282.85440000001,10970.0,105252.85440000001
2022-09-09,94282.85440000001,10791.0,105073.85440000001
2022-09-13,94282.85440000001,10981.0,105263.85440000001
2022-09-14,94282.85440000001,10960.0,105242.85440000001
2022-09-15,95086.52439999998,9907.0,104993.52439999998
2022-09-16,95086.52439999998,9720.0,104806.52439999998
2022-09-19,95086.52439999998,9440.0,104526.52439999998
2022-09-20,95086.52439999998,9687.0,104773.52439999998
2022-09-21,95086.52439999998,9798.0,104884.52439999998
2022-09-22,94402.44879999997,10366.0,104768.44879999997
2022-09-23,94402.44879999997,10019.0,104421.44879999997
2022-09-26,94402.44879999997,9708.0,104110.44879999997
2022-09-27,94402.44879999997,10006.0,104408.44879999997
2022-09-28,94402.44879999997,9806.0,104208.44879999997
2022-09-29,94928.696,9149.0,104077.696
2022-09-30,94928.696,9033.0,103961.696
2022-10-10,94928.696,8855.0,103783.696
2022-10-11,94928.696,8833.0,103761.696
2022-10-12,94928.696,9066.0,103994.696
2022-10-13,94026.9996,10093.0,104119.9996
2022-10-14,94026.9996,10302.0,104328.9996
2022-10-17,94026.9996,10649.0,104675.9996
2022-10-18,94026.9996,10651.0,104677.9996
2022-10-19,94026.9996,10661.0,104687.9996
2022-10-20,94861.82050000003,9800.0,104661.82050000003
2022-10-21,94861.82050000003,9932.0,104793.82050000003
2022-10-24,94861.82050000003,9685.0,104546.82050000003
2022-10-25,94861.82050000003,9580.0,104441.82050000003
2022-10-26,94861.82050000003,9812.0,104673.82050000003
2022-10-27,93746.59820000002,10960.0,104706.59820000002
2022-10-28,93746.59820000002,10542.0,104288.59820000002
2022-10-31,93746.59820000002,10629.0,104375.59820000002
2022-11-01,93746.59820000002,10896.0,104642.59820000002
2022-11-02,93746.59820000002,10969.0,104715.59820000002
2022-11-03,93740.03900000003,11044.0,104784.03900000003
2022-11-04,93740.03900000003,11149.0,104889.03900000003
2022-11-07,93740.03900000003,11301.0,105041.03900000003
2022-11-08,93740.03900000003,11350.0,105090.03900000003
2022-11-09,93740.03900000003,11345.0,105085.03900000003
2022-11-10,93733.23140000006,11310.0,105043.23140000006
2022-11-11,93733.23140000006,11452.0,105185.23140000006
2022-11-14,93733.23140000006,11445.0,105178.23140000006
2022-11-15,93733.23140000006,11464.0,105197.23140000006
2022-11-16,93733.23140000006,11591.0,105324.23140000006
2022-11-17,94590.49880000004,10878.0,105468.49880000004
2022-11-18,94590.49880000004,10816.0,105406.49880000004
2022-11-21,94590.49880000004,10769.0,105359.49880000004
2022-11-22,94590.49880000004,10699.0,105289.49880000004
2022-11-23,94590.49880000004,10516.0,105106.49880000004
2022-11-24,94584.14960000005,10733.0,105317.14960000005
2022-11-25,94584.14960000005,10653.0,105237.14960000005
2022-11-28,94584.14960000005,10591.0,105175.14960000005
2022-11-29,94584.14960000005,10774.0,105358.14960000005
2022-11-30,94584.14960000005,10692.0,105276.14960000005
2022-12-01,94577.69840000007,10752.0,105329.69840000007
2022-12-02,94577.69840000007,10975.0,105552.69840000007
2022-12-05,94577.69840000007,11005.0,105582.69840000007
2022-12-06,94577.69840000007,10934.0,105511.69840000007
2022-12-07,94577.69840000007,11121.0,105698.69840000007
2022-12-08,95153.21000000006,10503.0,105656.21000000006
2022-12-09,95153.21000000006,10482.0,105635.21000000006
2022-12-12,95153.21000000006,10341.0,105494.21000000006
2022-12-13,95153.21000000006,10412.0,105565.21000000006
2022-12-14,95153.21000000006,10545.0,105698.21000000006
2022-12-15,95146.87700000005,10632.0,105778.87700000005
2022-12-16,95146.87700000005,10448.0,105594.87700000005
2022-12-19,95146.87700000005,10236.0,105382.87700000005
2022-12-20,95146.87700000005,10177.0,105323.87700000005
2022-12-21,95146.87700000005,10143.0,105289.87700000005
2022-12-22,95140.74620000007,9993.0,105133.74620000007
2022-12-23,95140.74620000007,10116.0,105256.74620000007
2022-12-26,95140.74620000007,10350.0,105490.74620000007
2022-12-27,95140.74620000007,10283.0,105423.74620000007
2022-12-28,95140.74620000007,10073.0,105213.74620000007
2022-12-29,95134.68320000004,10047.0,105181.68320000004
2022-12-30,95134.68320000004,10163.0,105297.68320000004
2023-01-03,95134.68320000004,10305.0,105439.68320000004
2023-01-04,95134.68320000004,10493.0,105627.68320000004
2023-01-05,95134.68320000004,10524.0,105658.68320000004
2023-01-06,105667.52240000005,0.0,105667.52240000005
2023-01-09,105667.52240000005,0.0,105667.52240000005
2023-01-10,105667.52240000005,0.0,105667.52240000005
2023-01-11,105667.52240000005,0.0,105667.52240000005
2023-01-12,105667.52240000005,0.0,105667.52240000005
2023-01-13,105667.52240000005,0.0,105667.52240000005
2023-01-16,105667.52240000005,0.0,105667.52240000005
2023-01-17,105667.52240000005,0.0,105667.52240000005
2023-01-18,105667.52240000005,0.0,105667.52240000005
2023-01-19,105667.52240000005,0.0,105667.52240000005
2023-01-20,105667.52240000005,0.0,105667.52240000005
2023-01-30,105667.52240000005,0.0,105667.52240000005
2023-01-31,105667.52240000005,0.0,105667.52240000005
2023-02-01,105667.52240000005,0.0,105667.52240000005
2023-02-02,105667.52240000005,0.0,105667.52240000005
2023-02-03,82104.45560000004,23416.0,105520.45560000004
2023-02-06,82104.45560000004,23170.0,105274.45560000004
2023-02-07,82104.45560000004,23426.0,105530.45560000004
2023-02-08,82104.45560000004,23282.0,105386.45560000004
2023-02-09,82104.45560000004,23485.0,105589.45560000004
2023-02-10,94869.20430000003,10749.0,105618.20430000003
2023-02-13,94869.20430000003,10812.0,105681.20430000003
2023-02-14,94869.20430000003,10726.0,105595.20430000003
2023-02-15,94869.20430000003,10695.0,105564.20430000003
2023-02-16,94869.20430000003,10442.0,105311.20430000003
2023-02-17,94862.93850000003,10572.0,105434.93850000003
2023-02-20,94862.93850000003,10576.0,105438.93850000003
2023-02-21,94862.93850000003,10554.0,105416.93850000003
2023-02-22,94862.93850000003,10619.0,105481.93850000003
2023-02-23,94862.93850000003,10594.0,105456.93850000003
2023-02-24,94856.57310000005,10727.0,105583.57310000005
2023-02-27,94856.57310000005,10613.0,105469.57310000005
2023-02-28,94856.57310000005,10830.0,105686.57310000005
2023-03-01,94856.57310000005,10885.0,105741.57310000005
2023-03-02,94856.57310000005,10949.0,105805.57310000005
2023-03-03,96551.49540000004,9193.0,105744.49540000004
2023-03-06,96551.49540000004,9084.0,105635.49540000004
2023-03-07,96551.49540000004,8930.0,105481.49540000004
2023-03-08,96551.49540000004,9046.0,105597.49540000004
2023-03-09,96551.49540000004,8999.0,105550.49540000004
2023-03-10,94953.62800000004,10424.0,105377.62800000004
2023-03-13,94953.62800000004,10529.0,105482.62800000004
2023-03-14,94953.62800000004,10333.0,105286.62800000004
2023-03-15,94953.62800000004,10481.0,105434.62800000004
2023-03-16,94953.62800000004,10434.0,105387.62800000004
2023-03-17,94947.33880000001,10452.0,105399.33880000001
2023-03-20,94947.33880000001,10330.0,105277.33880000001
2023-03-21,94947.33880000001,10540.0,105487.33880000001
2023-03-22,94947.33880000001,10660.0,105607.33880000001
2023-03-23,94947.33880000001,10658.0,105605.33880000001
2023-03-24,94940.92960000002,10562.0,105502.92960000002
2023-03-27,94940.92960000002,10503.0,105443.92960000002
2023-03-28,94940.92960000002,10422.0,105362.92960000002
2023-03-29,94940.92960000002,10191.0,105131.92960000002
2023-03-30,94940.92960000002,10072.0,105012.92960000002
2023-03-31,93096.33440000002,12095.0,105191.33440000002
2023-04-03,93096.33440000002,12269.0,105365.33440000002
2023-04-04,93096.33440000002,12081.0,105177.33440000002
2023-04-06,93096.33440000002,11945.0,105041.33440000002
2023-04-07,93096.33440000002,12096.0,105192.33440000002
2023-04-10,105165.71250000002,0.0,105165.71250000002
2023-04-11,105165.71250000002,0.0,105165.71250000002
2023-04-12,105165.71250000002,0.0,105165.71250000002
2023-04-13,105165.71250000002,0.0,105165.71250000002
2023-04-14,105165.71250000002,0.0,105165.71250000002
2023-04-17,105165.71250000002,0.0,105165.71250000002
2023-04-18,105165.71250000002,0.0,105165.71250000002
2023-04-19,105165.71250000002,0.0,105165.71250000002
2023-04-20,105165.71250000002,0.0,105165.71250000002
2023-04-21,105165.71250000002,0.0,105165.71250000002
2023-04-24,105165.71250000002,0.0,105165.71250000002
2023-04-25,105165.71250000002,0.0,105165.71250000002
2023-04-26,105165.71250000002,0.0,105165.71250000002
2023-04-27,105165.71250000002,0.0,105165.71250000002
