datetime,code,side,price,volume,fee
2022-02-08,SZSE.000017,buy,3.37,1800,1.8197999999999999
2022-02-08,SHSE.603709,buy,16.1,300,1.4489999999999998
2022-02-08,SHSE.600455,buy,21.41,200,1.2846
2022-02-08,SHSE.603389,buy,5.02,1200,1.8071999999999995
2022-02-15,SZSE.000017,sell,3.47,1800,1.8738
2022-02-15,SHSE.603709,sell,16.3,300,1.4669999999999999
2022-02-15,SHSE.600455,sell,22.15,200,1.329
2022-02-15,SHSE.603389,sell,5.15,1200,1.8539999999999999
2022-02-15,SZSE.000017,buy,3.47,900,0.9369
2022-02-15,SHSE.603709,buy,16.3,100,0.48899999999999993
2022-02-15,SHSE.603389,buy,5.15,600,0.9269999999999999
2022-02-15,SHSE.600137,buy,14.23,200,0.8537999999999999
2022-02-22,SZSE.000017,sell,3.47,900,0.9369
2022-02-22,SHSE.603709,sell,17.01,100,0.5103
2022-02-22,SHSE.603389,sell,5.35,600,0.963
2022-02-22,SHSE.600137,sell,14.91,200,0.8946
2022-02-22,SZSE.000017,buy,3.47,900,0.9369
2022-02-22,SHSE.603709,buy,17.01,100,0.5103
2022-02-22,SHSE.603389,buy,5.35,500,0.8024999999999999
2022-02-22,SHSE.600137,buy,14.91,200,0.8946
2022-03-01,SZSE.000017,sell,3.7,900,0.9989999999999999
2022-03-01,SHSE.603709,sell,16.73,100,0.5018999999999999
2022-03-01,SHSE.603389,sell,5.3,500,0.7949999999999999
2022-03-01,SHSE.600137,sell,14.9,200,0.8939999999999999
2022-03-01,SZSE.000017,buy,3.7,800,0.8879999999999999
2022-03-01,SHSE.603709,buy,16.73,100,0.5018999999999999
2022-03-01,SHSE.603389,buy,5.3,500,0.7949999999999999
2022-03-01,SHSE.600455,buy,23.4,100,0.702
2022-03-08,SZSE.000017,sell,3.59,800,0.8615999999999999
2022-03-08,SHSE.603709,sell,16.75,100,0.5025
2022-03-08,SHSE.603389,sell,5.4,500,0.8099999999999999
2022-03-08,SHSE.600455,sell,23.35,100,0.7004999999999999
2022-03-08,SZSE.000017,buy,3.59,800,0.8615999999999999
2022-03-08,SHSE.603709,buy,16.75,100,0.5025
2022-03-08,SHSE.603389,buy,5.4,500,0.8099999999999999
2022-03-08,SHSE.600455,buy,23.35,100,0.7004999999999999
2022-03-15,SHSE.603389,sell,5.24,500,0.7859999999999999
2022-03-15,SZSE.000017,sell,3.61,800,0.8664
2022-03-15,SHSE.603709,sell,16.01,100,0.4803
2022-03-15,SHSE.600455,sell,23.23,100,0.6969
2022-03-15,SZSE.000017,buy,3.61,800,0.8664
2022-03-15,SHSE.600137,buy,14.32,200,0.8592
2022-03-15,SHSE.603389,buy,5.24,600,0.9431999999999999
2022-03-15,SHSE.603709,buy,16.01,100,0.4803
2022-03-22,SZSE.000017,sell,3.45,800,0.828
2022-03-22,SHSE.603709,sell,16.2,100,0.48599999999999993
2022-03-22,SHSE.600137,sell,14.34,200,0.8603999999999999
2022-03-22,SHSE.603389,sell,5.49,600,0.9882
2022-03-22,SZSE.000017,buy,3.45,900,0.9314999999999999
2022-03-22,SHSE.603709,buy,16.2,100,0.48599999999999993
2022-03-22,SHSE.600455,buy,22.2,100,0.6659999999999999
2022-03-22,SHSE.600137,buy,14.34,200,0.8603999999999999
2022-03-29,SZSE.000017,sell,3.4,900,0.9179999999999999
2022-03-29,SHSE.603709,sell,16.59,100,0.4977
2022-03-29,SHSE.600455,sell,21.24,100,0.6372
2022-03-29,SHSE.600137,sell,15.47,200,0.9281999999999999
2022-03-29,SZSE.000017,buy,3.4,900,0.9179999999999999
2022-03-29,SHSE.603709,buy,16.59,100,0.4977
2022-03-29,SHSE.600455,buy,21.24,100,0.6372
2022-03-29,SHSE.603389,buy,5.57,500,0.8354999999999999
2022-04-07,SZSE.000017,sell,3.46,900,0.9341999999999999
2022-04-07,SHSE.603709,sell,17.01,100,0.5103
2022-04-07,SHSE.600455,sell,22.21,100,0.6662999999999999
2022-04-07,SHSE.603389,sell,6.13,500,0.9194999999999999
2022-05-10,SHSE.600768,buy,7.86,800,1.8863999999999999
2022-05-10,SHSE.600455,buy,17.3,300,1.557
2022-05-10,SHSE.603580,buy,9.05,700,1.9005
2022-05-10,SHSE.603286,buy,13.35,400,1.6019999999999999
2022-05-17,SHSE.600768,sell,8.2,800,1.9679999999999995
2022-05-17,SHSE.600455,sell,18.23,300,1.6406999999999998
2022-05-17,SHSE.603580,sell,9.5,700,1.9949999999999999
2022-05-17,SHSE.603286,sell,14.22,400,1.7064
2022-05-17,SHSE.600768,buy,8.2,300,0.738
2022-05-17,SHSE.600455,buy,18.23,100,0.5468999999999999
2022-05-17,SHSE.603580,buy,9.5,300,0.8549999999999999
2022-05-17,SHSE.603269,buy,11.22,200,0.6731999999999999
2022-05-24,SHSE.600455,sell,18.82,100,0.5646
2022-05-24,SHSE.600768,sell,9.08,300,0.8171999999999999
2022-05-24,SHSE.603580,sell,9.87,300,0.8882999999999998
2022-05-24,SHSE.603269,sell,11.56,200,0.6936
2022-05-24,SHSE.600455,buy,18.82,100,0.5646
2022-05-24,SHSE.603580,buy,9.87,300,0.8882999999999998
2022-05-24,SHSE.600768,buy,9.08,300,0.8171999999999999
2022-05-24,SHSE.603269,buy,11.56,200,0.6936
2022-05-31,SHSE.600455,sell,19.49,100,0.5846999999999999
2022-05-31,SHSE.600768,sell,8.91,300,0.8019
2022-05-31,SHSE.603580,sell,10.38,300,0.9342
2022-05-31,SHSE.603269,sell,11.64,200,0.6983999999999999
2022-05-31,SHSE.600768,buy,8.91,300,0.8019
2022-05-31,SHSE.600455,buy,19.49,100,0.5846999999999999
2022-05-31,SHSE.603269,buy,11.64,200,0.6983999999999999
2022-05-31,SHSE.603286,buy,14.89,200,0.8934
2022-06-08,SHSE.600768,sell,9.3,300,0.837
2022-06-08,SHSE.600455,sell,19.4,100,0.5819999999999999
2022-06-08,SHSE.603269,sell,12.09,200,0.7253999999999999
2022-06-08,SHSE.603286,sell,15.51,200,0.9305999999999999
2022-06-08,SHSE.600455,buy,19.4,100,0.5819999999999999
2022-06-08,SHSE.600768,buy,9.3,300,0.837
2022-06-08,SHSE.600689,buy,8.62,300,0.7757999999999998
2022-06-08,SZSE.000691,buy,4.15,700,0.8715
2022-06-15,SHSE.600455,sell,19.11,100,0.5732999999999999
2022-06-15,SHSE.600768,sell,9.19,300,0.8271
2022-06-15,SHSE.600689,sell,9.07,300,0.8162999999999999
2022-06-15,SZSE.000691,sell,4.08,700,0.8567999999999999
2022-06-15,SHSE.600455,buy,19.11,100,0.5732999999999999
2022-06-15,SHSE.600768,buy,9.19,300,0.8271
2022-06-15,SHSE.600520,buy,8.25,300,0.7424999999999999
2022-06-15,SZSE.000691,buy,4.08,700,0.8567999999999999
2022-06-22,SHSE.600455,sell,19.06,100,0.5717999999999999
2022-06-22,SHSE.600768,sell,9.25,300,0.8324999999999999
2022-06-22,SHSE.600520,sell,8.4,300,0.7559999999999999
2022-06-22,SZSE.000691,sell,4.2,700,0.8819999999999999
2022-06-22,SHSE.600455,buy,19.06,100,0.5717999999999999
2022-06-22,SHSE.600768,buy,9.25,300,0.8324999999999999
2022-06-22,SHSE.603813,buy,14.97,200,0.8981999999999999
2022-06-22,SHSE.600689,buy,8.82,300,0.7938
2022-06-29,SHSE.600455,sell,19.73,100,0.5919
2022-06-29,SHSE.600689,sell,8.96,300,0.8064000000000001
2022-06-29,SHSE.603813,sell,16.06,200,0.9635999999999998
2022-06-29,SHSE.600768,sell,9.58,300,0.8622
2022-06-29,SHSE.600455,buy,19.73,100,0.5919
