20260331 21:56:27- INFO- 开始更新指数、ETF、板块数据
20260331 21:56:27- INFO- ==================================================
20260331 21:56:27- INFO- 开始更新指数日线数据
20260331 21:56:27- INFO- 开始获取数据: 20200101 至 20260331
20260331 21:56:27- INFO- 获取 20200101 数据失败: 必填参数, ts_code
20260331 21:56:27- INFO- 获取 20200102 数据失败: 必填参数, ts_code
20260331 21:56:27- INFO- 获取 20200103 数据失败: 必填参数, ts_code
20260331 21:56:27- INFO- 获取 20200104 数据失败: 必填参数, ts_code
20260331 21:56:27- INFO- 获取 20200105 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200106 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200107 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200108 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200109 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200110 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200111 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200112 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200113 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200114 数据失败: 必填参数, ts_code
20260331 21:56:28- INFO- 获取 20200115 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200116 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200117 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200118 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200119 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200120 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200121 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200122 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200123 数据失败: 必填参数, ts_code
20260331 21:56:29- INFO- 获取 20200124 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200125 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200126 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200127 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200128 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200129 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200130 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200131 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200201 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200202 数据失败: 必填参数, ts_code
20260331 21:56:30- INFO- 获取 20200203 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200204 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200205 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200206 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200207 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200208 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200209 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200210 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200211 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200212 数据失败: 必填参数, ts_code
20260331 21:56:31- INFO- 获取 20200213 数据失败: 必填参数, ts_code
