参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 142, '调整正确率(%)': '61.29', '预计平均亏损改善(%)': '2.3239'}",540.8
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 160, '调整正确率(%)': '60.96', '预计平均亏损改善(%)': '2.3437'}",540.4
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 151, '调整正确率(%)': '59.72', '预计平均亏损改善(%)': '2.3863'}",537.4
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '62.45', '预计平均亏损改善(%)': '2.3772'}",537.3
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 135, '调整正确率(%)': '59.14', '预计平均亏损改善(%)': '2.3956'}",535.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 131, '调整正确率(%)': '58.96', '预计平均亏损改善(%)': '2.4003'}",535.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 172, '调整正确率(%)': '58.77', '预计平均亏损改善(%)': '2.3432'}",532.2
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 196, '调整正确率(%)': '58.25', '预计平均亏损改善(%)': '2.3400'}",530.1
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 142, '调整正确率(%)': '57.47', '预计平均亏损改善(%)': '2.3661'}",528.2
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 162, '调整正确率(%)': '56.78', '预计平均亏损改善(%)': '2.3804'}",526.2
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 135, '调整正确率(%)': '57.46', '预计平均亏损改善(%)': '2.2705'}",524.3
