参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 251, '调整正确率(%)': '55.17', '预计平均亏损改善(%)': '2.2846'}",0.7513393197913538
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 246, '调整正确率(%)': '55.35', '预计平均亏损改善(%)': '2.2450'}",0.7344879360183306
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 221, '调整正确率(%)': '55.83', '预计平均亏损改善(%)': '2.2483'}",0.6873190030361841
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 196, '调整正确率(%)': '58.25', '预计平均亏损改善(%)': '2.3400'}",0.6781040103497618
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 215, '调整正确率(%)': '55.21', '预计平均亏损改善(%)': '2.2845'}",0.6757773556594285
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 212, '调整正确率(%)': '55.71', '预计平均亏损改善(%)': '2.2620'}",0.6699234429399874
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 210, '调整正确率(%)': '53.82', '预计平均亏损改善(%)': '2.3139'}",0.6570947293277454
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 205, '调整正确率(%)': '55.21', '预计平均亏损改善(%)': '2.2713'}",0.6519674230364314
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 190, '调整正确率(%)': '56.68', '预计平均亏损改善(%)': '2.2988'}",0.6409660505273672
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 204, '调整正确率(%)': '53.99', '预计平均亏损改善(%)': '2.2616'}",0.6354215267639116
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 251, '调整正确率(%)': '55.17', '预计平均亏损改善(%)': '1.7135'}",0.6339658868941831
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 172, '调整正确率(%)': '58.77', '预计平均亏损改善(%)': '2.3432'}",0.6334321849656481
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 160, '调整正确率(%)': '60.96', '预计平均亏损改善(%)': '2.3437'}",0.6305540332009745
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 246, '调整正确率(%)': '55.35', '预计平均亏损改善(%)': '1.6838'}",0.6191491677782812
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 180, '调整正确率(%)': '56.55', '预计平均亏损改善(%)': '2.2943'}",0.6176183023864034
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 151, '调整正确率(%)': '59.72', '预计平均亏损改善(%)': '2.3863'}",0.6076753062318964
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 181, '调整正确率(%)': '55.13', '预计平均亏损改善(%)': '2.2960'}",0.6055949869528303
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 178, '调整正确率(%)': '55.71', '预计平均亏损改善(%)': '2.2843'}",0.6027766186546666
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 184, '调整正确率(%)': '54.80', '预计平均亏损改善(%)': '2.2610'}",0.601365212207344
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 162, '调整正确率(%)': '56.78', '预计平均亏损改善(%)': '2.3804'}",0.5996847776769625
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 142, '调整正确率(%)': '61.29', '预计平均亏损改善(%)': '2.3239'}",0.5918756501231521
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 179, '调整正确率(%)': '54.14', '预计平均亏损改善(%)': '2.2886'}",0.58975782787718
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 175, '调整正确率(%)': '55.99', '预计平均亏损改善(%)': '2.2356'}",0.5892942846655931
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 178, '调整正确率(%)': '53.74', '预计平均亏损改善(%)': '2.3132'}",0.58862440537689
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 177, '调整正确率(%)': '54.57', '预计平均亏损改善(%)': '2.2625'}",0.5845598202733154
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 162, '调整正确率(%)': '56.99', '预计平均亏损改善(%)': '2.2856'}",0.5823430865783221
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 172, '调整正确率(%)': '54.35', '预计平均亏损改善(%)': '2.2923'}",0.5778920900190325
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '62.45', '预计平均亏损改善(%)': '2.3772'}",0.576685970881249
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 165, '调整正确率(%)': '56.38', '预计平均亏损改善(%)': '2.2444'}",0.5739833915265496
