code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_7,ema_7,ewma_volatility_8,open_pct,lowest_30,close_sma7_pct,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_ema_7,pre_volume_ratio_5,pre_pct,pre_vwap,pre_ewma_volatility_8,pre_close_sma7_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,trading_date_right
SHSE.600655,stock,2021/1/13,2021-01-13T16:00:00.000+0800,13.63,13.11,14.93,13.1,14.21,14.99,12.27,149637408,2128535296,4.26,162.7250824,14.22,13589177207,1,FALSE,FALSE,TRUE,断板,断板,断板,6天6板,13.818,13.09857143,12.95857917,4.163627934,-3.81511372,7.96,8.48511288,0.872276404,0.601092896,0.393442623,0.005464481,1,断板,12.46571429,12.54143889,0.91023707,-2.01,13.81,2.148850763,9.339903736,0.1,0.745454545,0.154545455,1,SHSE.600655,2021/1/13 9:30,13.11,2021/1/14 11:28,13.48,2.760598213,1.49,2021/1/13
SHSE.601908,stock,2021/1/13,2021-01-13T16:00:00.000+0800,13.85,13.5,13.82,12.47,12.47,15.24,12.47,167759536,2192853504,-9.96,4.308476448,13.07,10551359203,1,FALSE,FALSE,TRUE,断板,断板,断板,4天2板,13.416,13.05714286,12.70793831,9.781215701,-2.527075812,6.18,-4.496717724,0.9343206,0.762962963,0.237037037,0,-1,断板,12.82142857,12.78725107,1.08842442,6.05,12.91,6.354364107,8.022284123,0.548543689,0.04368932,0.40776699,1,SHSE.601908,2021/1/13 9:30,13.5,2021/1/14 9:30,12,-11.16442845,1,2021/1/13
SZSE.000718,stock,2021/1/13,2021-01-13T16:00:00.000+0800,4.49,4.31,4.47,4.05,4.06,4.94,4.04,132518200,555500032,-9.58,8.055568695,4.19,3841983712,1,FALSE,FALSE,TRUE,断板,断板,断板,5天4板,4.452,4.298571429,4.2083328,9.447804832,-4.008908686,3.16,-5.550016617,0.861264215,0.595238095,0.380952381,0.023809524,-1,断板,4.202857143,4.257777067,1.433203561,-6.85,4.44,7.060689462,6.832087016,0.12195122,0.512195122,0.365853659,-1,SZSE.000718,2021/1/13 9:30,4.31,2021/1/14 11:28,3.83,-11.19019283,1.49,2021/1/13
SZSE.000767,stock,2021/1/13,2021-01-13T16:00:00.000+0800,4.31,4.18,4.48,4.02,4.08,4.74,3.88,270944832,1146626688,-5.34,10.78225517,4.23,3897079446,1,FALSE,FALSE,TRUE,断板,断板,断板,12天7板,4.442,4.307142857,4.258056877,5.700282911,-3.016241299,2.46,-5.273631841,0.801992276,0.217391304,0.652173913,0.130434783,-1,断板,4.324285714,4.31740917,1.055746914,-10.02,4.42,9.737009518,-0.330360093,0.176470588,0.823529412,0,-1,SZSE.000767,2021/1/13 9:30,4.18,2021/1/14 11:28,3.9,-6.754528665,1.49,2021/1/13
SHSE.600189,stock,2021/1/14,2021-01-14T16:00:00.000+0800,16.6,16,16.62,14.94,14.94,18.26,14.94,52303744,810106368,-10,2.655370235,15.49,4303188264,1,FALSE,FALSE,TRUE,断板,断板,断板,11天7板,16.236,15.7,15.59339867,9.813337973,-3.614457831,7.72,-4.840764331,0.725026588,0.630952381,0.369047619,0,-1,断板,15.65428571,15.81119822,1.125782143,-5.9,17.17,6.19354795,6.041248403,0.391791045,0.343283582,0.264925373,-1,SHSE.600189,2021/1/14 9:30,16,2021/1/15 11:28,14.49,-9.491821204,1.49,2021/1/14
SZSE.002375,stock,2021/1/14,2021-01-14T16:00:00.000+0800,8.3,8.03,8.74,8.03,8.39,9.13,7.47,32338756,273282560,1.08,6.126225471,8.45,5195953705,1,FALSE,FALSE,TRUE,断板,断板,断板,2天2板,8.136,7.744285714,7.956190805,1.213020207,-3.253012048,6.58,8.337945029,0.954628916,0.507042254,0.492957746,0,1,断板,7.535714286,7.811587741,1.31736297,-2.24,8.35,2.500006743,10.14218009,0.231707317,0.475609756,0.292682927,-1,SZSE.002375,2021/1/14 9:30,8.03,2021/1/15 11:28,8.59,6.90968301,1.49,2021/1/14
SZSE.002466,stock,2021/1/14,2021-01-14T16:00:00.000+0800,59.5,57.3,59.14,53.55,54.33,65.45,53.55,154714912,8640520192,-8.69,7.752445221,55.85,51746144685,1,FALSE,FALSE,TRUE,断板,断板,断板,5天3板,55.71,53.26571429,52.9488465,8.473800218,-3.697478992,24.58,1.99806898,0.942093723,0.531305903,0.329159213,0.139534884,-1,断板,51.47571429,52.488462,1.038686642,2.91,60.1,3.697197439,15.58848833,0.12539185,0.5,0.37460815,-1,SZSE.002466,2021/1/14 9:30,57.3,2021/1/15 11:28,54.41,-5.100586752,1.49,2021/1/14
SZSE.000301,stock,2021/1/15,2021-01-15T16:00:00.000+0800,12.74,12.13,12.45,11.47,11.47,14.01,11.47,190323680,2193690880,-9.97,2.094580173,11.53,8687787158,1,FALSE,FALSE,TRUE,断板,断板,断板,5天3板,12.974,12.59285714,12.1915419,9.730898697,-4.788069074,8.98,-8.916619399,2.163060612,0.673469388,0.326530612,0,-1,断板,12.49571429,12.43205586,0.925065836,-4.35,13.16,4.570819498,1.954955985,0.247524752,0.663366337,0.089108911,-1,SZSE.000301,2021/1/15 9:30,12.13,2021/1/20 11:28,13.9,14.52318633,3.49,2021/1/15
SHSE.601766,stock,2021/1/18,2021-01-18T16:00:00.000+0800,7.14,6.96,7.44,6.95,7.28,7.85,6.43,534118784,3848919552,1.96,1.242072463,7.21,69410366276,1,FALSE,FALSE,TRUE,断板,断板,断板,2天2板,7.06,6.761428571,6.840979032,2.508065113,-2.521008403,5.24,7.669554194,0.814873509,0.653061224,0.326530612,0.020408163,1,断板,6.598571429,6.69463871,1.419555866,-6.42,7.35,6.682422979,8.205239229,0.76744186,0,0.23255814,-1,SHSE.601766,2021/1/18 9:30,6.96,2021/1/19 11:28,7.03,0.945161854,1.49,2021/1/18
SHSE.600185,stock,2021/1/19,2021-01-19T16:00:00.000+0800,7.1,6.9,7.39,6.63,7.05,7.81,6.39,140932784,982846592,-0.7,7.175383568,6.97,6629153965,1,FALSE,FALSE,TRUE,断板,断板,断板,3天3板,7.086,6.687142857,6.816364344,1.461390617,-2.816901408,5.11,5.426190985,1.009437022,0.197368421,0.447368421,0.355263158,1,断板,6.472857143,6.738485793,1.15698206,-5.33,7.1,5.283721127,9.688810417,0.04494382,0.617977528,0.337078652,1,SHSE.600185,2021/1/19 9:30,6.9,2021/1/20 11:28,7,1.388424052,1.49,2021/1/19
