code,trading_date,open,high,low,close,pre_close,change,pct,volume,amount,limit_up,limit_down,type,type_name,name,vol_ratio,turn_over,swing,selling,buying,total_share,float_share,pe,industry,area,float_mv,total_mv,avg_price,strength,activity,avg_turnover,attack,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_7,open_pct,close_sma7_pct,vwap,lowest_30,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason,trading_date_right
SHSE.600405,2021-01-07,7.31,8.31,7.11,8.31,7.55,0.76,10.0662,908301.54,716272.935,8.31,6.8,,,动力源,1.47,16.42,15.89,426177,482125,5.57,5.53,161.66,电气设备,北京,45.98,46.3,7.89,9.35,2463,0.01,16.88,true,false,false,,涨停,4天3板,2天2板,7.7875000000000005,7.7875000000000005,-3.1788079470198705,6.7094703049759215,78.85849615536267,7.28,断板,7.613333333333333,-5.7428,80.06954114576205,-0.8318739054290736,SHSE.600405,2021-01-07T09:30:00.000000,7.31,2021-01-08T11:30:00.000000,7.62,4.178240371937669,1.5,未涨停卖出,2021-01-07
SHSE.600798,2021-01-07,5.43,5.99,5.24,5.29,5.7,-0.41,-7.193,1852035.02,1028502.255,6.27,5.13,,,宁波海运,1.15,17.97,13.16,936991,915044,12.07,10.31,34.12,水运,浙江,54.53,63.83,5.55,-7.91,4697,0.0,0.95,false,false,true,断板,断板,断板,2天2板,5.725,5.725,-4.7368421052631655,-7.598253275109164,55.53362889433916,5.4,断板,5.87,-8.6538,60.11452984409283,-2.896081771720612,SHSE.600798,2021-01-07T09:30:00.000000,5.43,2021-01-08T11:30:00.000000,4.94,-9.078510332719688,1.5,止损卖出,2021-01-07
SZSE.000700,2021-01-07,6.0,6.84,5.9,6.84,6.22,0.62,9.9678,1305842.23,873677.807,6.84,5.6,,,模塑科技,6.84,16.18,15.11,639394,666448,9.17,8.07,0.0,汽车配件,江苏,55.2,62.73,6.69,8.86,3939,0.0,15.93,true,false,false,,涨停,4天3板,2天2板,6.415,6.415,-3.5369774919614105,6.6250974279033485,66.90531114160706,6.0,断板,6.273333333333333,-5.7576,63.32347841778245,-0.8501594048884221,SZSE.000700,2021-01-07T09:30:00.000000,6.0,2021-01-08T11:30:00.000000,6.21,3.4379186244126836,1.5,未涨停卖出,2021-01-07
SZSE.000798,2021-01-07,11.94,13.49,11.94,12.13,12.56,-0.43,-3.4236,430875.52,544609.62,13.82,11.3,,,中水渔业,1.18,13.49,12.34,218488,212388,3.19,3.19,0.0,渔业,北京,38.74,38.75,12.64,-4.53,4410,0.0,1.59,false,false,true,断板,断板,断板,2天2板,12.83,12.83,-4.936305732484084,-5.455962587685107,126.39604589279057,11.62,断板,13.063333333333333,-9.9642,132.76230260109187,-3.8530237305434962,SZSE.000798,2021-01-07T09:30:00.000000,11.94,2021-01-08T11:30:00.000000,11.35,-4.998391604796603,1.5,未涨停卖出,2021-01-07
SZSE.002040,2021-01-07,6.92,7.16,6.77,6.9,7.11,-0.21,-2.9536,141741.57,98434.413,7.82,6.4,,,南 京 港,0.82,2.93,5.49,81194,60548,4.84,4.84,26.12,港口,江苏,33.39,33.39,6.94,-4.06,2411,0.0,1.92,false,false,true,断板,断板,断板,2天1板,7.1,7.1,-2.6722925457102726,-2.8169014084506943,69.4463967063438,6.77,断板,7.166666666666667,-5.7029,71.5230357925719,-0.7906976744186043,SZSE.002040,2021-01-07T09:30:00.000000,6.92,2021-01-08T11:30:00.000000,6.68,-3.5261097971186532,1.5,未涨停卖出,2021-01-07
SZSE.002401,2021-01-07,13.72,14.13,13.39,13.57,14.13,-0.56,-3.9632,191842.29,262271.565,15.54,12.72,,,中远海科,1.21,6.35,5.24,108010,83832,3.1,3.02,19.75,软件服务,上海,41.0,42.09,13.67,-5.07,3570,0.0,1.34,false,false,true,断板,断板,断板,2天2板,14.4175,14.4175,-2.9016277423920744,-5.878272932200452,136.7120695859083,14.13,断板,14.700000000000001,-10.0,143.13080861670525,-3.8775510204081645,SZSE.002401,2021-01-07T09:30:00.000000,13.72,2021-01-08T11:30:00.000000,13.39,-2.463787102936174,1.5,未涨停卖出,2021-01-07
SZSE.300082,2021-01-07,14.8,17.84,14.6,16.4,15.5,0.9,5.8065,642029.98,1052500.681,18.6,12.4,,,奥克股份,1.38,9.48,20.9,297000,345030,6.8,6.78,28.08,化工原料,辽宁,111.12,111.54,16.39,4.7,4611,0.0,12.33,false,false,true,断板,断板,断板,2天2板,14.85,14.85,-4.5161290322580605,10.43771043771043,163.93326071782508,10.77,断板,14.333333333333334,3.3333,149.3632432190754,8.139534883720925,SZSE.300082,2021-01-07T09:30:00.000000,14.8,2021-01-08T11:30:00.000000,15.25,2.978734757950986,1.5,未涨停卖出,2021-01-07
SHSE.600097,2021-01-08,11.6,11.98,11.44,11.57,12.15,-0.58,-4.7737,136967.17,160056.169,13.37,10.94,,,开创国际,0.98,5.68,4.44,71955,65012,2.41,2.41,22.64,渔业,上海,27.88,27.88,11.69,-4.6,3587,0.0,1.14,false,false,false,,未涨停,未涨停,2天2板,11.852,11.852,-4.526748971193421,-2.379345258184273,116.85732354694922,10.2,断板,11.9225,1.7588,123.64082726627628,1.9081568462990224,SHSE.600097,2021-01-08T09:30:00.000000,11.6,2021-01-11T11:30:00.000000,11.26,-2.9892583948953444,1.5,未涨停卖出,2021-01-08
SHSE.600419,2021-01-08,17.78,17.8,16.55,16.85,18.39,-1.54,-8.3741,314392.12,532363.373,20.23,16.55,,,天润乳业,1.42,11.7,6.8,173818,140574,2.69,2.69,28.23,乳制品,新疆,45.26,45.26,16.93,-8.2,4017,0.0,1.81,false,false,true,断板,断板,断板,2天2板,16.978,16.978,-3.3170201196302305,-0.7539168335492997,169.33101662980613,14.4,断板,17.009999999999998,1.3223,180.20636771724588,8.112874779541462,SHSE.600419,2021-01-08T09:30:00.000000,17.78,2021-01-11T11:30:00.000000,17.07,-4.050837617106318,1.5,未涨停卖出,2021-01-08
SHSE.600798,2021-01-08,5.03,5.64,4.82,5.22,5.29,-0.07,-1.3233,1626558.58,837582.474,5.82,4.76,,,宁波海运,0.9,15.78,15.5,810873,815686,12.07,10.31,33.67,水运,浙江,53.81,62.98,5.15,-1.15,4566,0.0,8.3,false,false,false,,未涨停,未涨停,2天2板,5.6240000000000006,5.6240000000000006,-4.914933837429108,-7.18349928876246,51.494147477922375,5.24,断板,5.725,-7.193,55.53362889433916,-7.598253275109164,SHSE.600798,2021-01-08T09:30:00.000000,5.03,2021-01-11T11:30:00.000000,4.92,-2.245548999316109,1.5,未涨停卖出,2021-01-08
SHSE.601016,2021-01-08,3.98,4.26,3.92,4.0,4.1,-0.1,-2.439,2631557.09,1068843.867,4.51,3.69,,,节能风电,0.7,6.33,8.29,1307638,1323919,49.87,41.56,27.92,新型电力,北京,166.22,199.47,4.06,-2.27,4648,0.0,2.04,false,false,true,断板,断板,断板,3天2板,3.9159999999999995,3.9159999999999995,-2.9268292682926753,2.145045965270698,40.61640429773082,3.46,断板,3.895,1.4851,41.067886483032005,5.263157894736833,SHSE.601016,2021-01-08T09:30:00.000000,3.98,2021-01-11T11:30:00.000000,3.85,-3.3243544524582105,1.5,未涨停卖出,2021-01-08
SZSE.000798,2021-01-08,11.73,11.87,10.92,11.42,12.13,-0.71,-5.8533,326677.03,367086.892,13.34,10.92,,,中水渔业,0.89,10.23,7.83,174655,152022,3.19,3.19,0.0,渔业,北京,36.47,36.48,11.24,-5.61,4166,0.0,4.58,false,false,false,,未涨停,未涨停,2天2板,12.548,12.548,-3.297609233305856,-8.989480395282119,112.36997348726968,11.62,断板,12.83,-3.4236,126.39604589279057,-5.455962587685107,SZSE.000798,2021-01-08T09:30:00.000000,11.73,2021-01-11T11:30:00.000000,10.67,-9.091219778141593,1.5,止损卖出,2021-01-08
