code,name,trading_date,open,high,low,close,pre_close,volume,amount,limit_up,limit_down,is_st,is_suspended,adj_factor,turnover_rate,total_mv,mv_A_free_float,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,avg_limit_turnover_5,sma_5,sma_7,open_pct,close_sma7_pct,vwap,touch_limit_down,pct,lowest_30,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,signal,code_right,trading_date_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason
SHSE.601113,华鼎股份,2024-01-25,3.93,3.98,3.65,3.92,4.06,151313449.0,581576610.42,4.47,3.65,false,false,2.11661965,13.704,43.2827672592,43.2827672592,false,false,false,,未涨停,未涨停,2天2板,7.4955,4.029999999999999,3.8785714285714286,-3.2019704433497407,1.068139963167586,384.3522266285794,true,-0.03448275862068961,3.39,断板,3.817142857142857,-0.021686746987952032,399.435730844505,6.362275449101785,1,SHSE.601113,2024-01-25,2024-01-25T09:30:00.000000,3.93,2024-01-26T11:30:00.000000,4.12,3.9992700951917413,1.5,未涨停卖出
SHSE.605255,天普股份,2024-01-25,19.2,19.68,18.63,19.68,19.75,11394529.0,220111726.36,21.73,17.78,false,false,1.09217843,8.4983,26.386944,26.386944,false,false,false,,未涨停,未涨停,2天1板,13.8673,19.726,19.271428571428572,-2.784810126582282,2.1200889547813135,1931.7316789487306,false,-0.0035443037974683955,16.91,断板,18.96857142857143,-0.010025062656641603,1936.7333362318168,4.119596324747697,1,SHSE.605255,2024-01-25,2024-01-25T09:30:00.000000,19.2,2024-01-26T11:30:00.000000,19.27,-0.4351344621513741,1.5,未涨停卖出
SHSE.603083,剑桥科技,2024-01-26,43.0,47.34,42.41,43.52,45.02,72132507.0,3247274228.74,49.52,40.52,false,false,2.22490368,27.5196,116.6792703232,114.0718739712,false,false,true,断板,断板,断板,5天4板,17.838933333333333,42.136,40.48285714285714,-4.486894713460691,7.502293739854622,4501.818062056265,false,-0.03331852509995559,31.47,断板,38.76142857142857,0.008286674132139016,4452.117045130396,16.146390004791233,1,SHSE.603083,2024-01-26,2024-01-26T09:30:00.000000,43.0,2024-01-29T15:00:00.000000,39.24,-9.471324006300359,2.0,未涨停卖出
SHSE.603600,永艺股份,2024-01-26,12.5,12.66,12.07,12.16,13.0,22137380.0,273999701.41,14.3,11.7,false,false,3.13160593,7.3178,40.4815855616,36.785537024,false,false,true,断板,断板,断板,4天2板,5.69425,12.326,12.227142857142857,-3.8461538461538463,-0.5491295712115868,1237.724163428554,false,-0.06461538461538463,10.81,断板,12.117142857142857,0.0375099760574622,1241.7633633376518,7.286017448714924,1,SHSE.603600,2024-01-26,2024-01-26T09:30:00.000000,12.5,2024-01-29T11:30:00.000000,11.74,-6.828366533864556,1.5,未涨停卖出
SZSE.002731,ST萃华,2024-01-26,12.98,14.27,12.61,13.0,13.59,33687088.0,444494932.21,14.95,12.23,false,false,1.73029875,13.8419,33.30028,28.2364056,false,false,true,断板,断板,断板,7天3板,15.78895,13.238,12.95142857142857,-4.488594554819716,0.3750275755570359,1319.481613281623,false,-0.043414275202354635,10.84,断板,12.915714285714285,-0.0014695077149154967,1387.2129524831012,5.220661431257605,1,SZSE.002731,2024-01-26,2024-01-26T09:30:00.000000,12.98,2024-01-29T11:30:00.000000,11.73,-10.350278393360309,1.5,止损卖出
SZSE.002641,公元股份,2024-01-17,6.1,6.18,5.66,5.66,6.29,147390115.0,867971361.58,6.92,5.66,false,false,6.29640767,12.9931,69.5667130986,64.1866443598,false,false,false,,未涨停,未涨停,4天4板,2.3834,6.516,6.265714285714286,-3.0206677265500854,-9.667122663018699,588.8938763498488,true,-0.10015898251192368,4.84,断板,6.154285714285714,-0.09885386819484243,642.9557671014535,2.205199628597964,1,SZSE.002641,2024-01-17,2024-01-17T09:30:00.000000,6.1,2024-01-18T11:30:00.000000,5.72,-6.976683430213552,1.5,未涨停卖出
SHSE.601086,国芳集团,2024-01-16,6.14,6.37,6.06,6.15,6.41,62778362.0,387891975.96,7.05,5.77,false,false,1.30620221,9.4262,40.959,40.959,false,false,false,,未涨停,未涨停,2天2板,5.192,6.292,6.041428571428571,-4.212168486739476,1.7971151572475905,617.8752735855071,false,-0.040561622464898583,5.25,断板,5.93,0.030546623794212246,636.6505312784316,8.094435075885336,1,SHSE.601086,2024-01-16,2024-01-16T09:30:00.000000,6.14,2024-01-17T11:30:00.000000,5.87,-5.159167888705748,1.5,未涨停卖出
SHSE.603877,太平鸟,2024-01-16,17.9,18.18,17.3,17.5,18.4,12161910.0,214331926.93,20.24,16.56,false,false,1.21685025,2.573,82.92184355,82.71656855,false,false,false,,未涨停,未涨停,3天3板,1.7995333333333334,18.428,17.554285714285715,-2.717391304347826,-0.3092447916666716,1762.3212713299145,false,-0.048913043478260754,14.62,断板,17.354285714285716,-0.03412073490813661,1848.6163623738707,6.025683240039495,1,SHSE.603877,2024-01-16,2024-01-16T09:30:00.000000,17.9,2024-01-17T11:30:00.000000,17.51,-2.958222974025671,1.5,未涨停卖出
SZSE.002641,公元股份,2024-01-16,6.73,6.84,6.28,6.29,6.98,195412177.0,1256413861.64,7.68,6.28,false,false,6.29640767,17.2264,77.31000448590001,71.3310941737,false,false,true,断板,断板,断板,4天4板,2.718975,6.566,6.154285714285714,-3.5816618911174785,2.205199628597964,642.9557671014535,true,-0.09885386819484243,4.84,炸板,5.964285714285714,-0.023776223776223793,734.2819519460951,17.029940119760482,1,SZSE.002641,2024-01-16,2024-01-16T09:30:00.000000,6.73,2024-01-17T11:30:00.000000,5.85,-13.76840335537493,1.5,止损卖出
SZSE.002708,光洋股份,2024-01-16,9.71,11.0,9.71,11.0,10.0,87206208.0,921927195.28,11.0,9.0,false,false,3.13995502,21.3264,61.83077637,44.980301850000004,true,false,false,,涨停,5天4板,3天3板,12.2159,9.862,9.228571428571428,-2.8999999999999915,19.195046439628495,1057.1806943835925,false,0.10000000000000009,7.5,炸板,8.764285714285714,-0.033816425120772875,1062.5834108382705,14.099429502852487,1,SZSE.002708,2024-01-16,2024-01-16T09:30:00.000000,9.71,2024-01-17T11:30:00.000000,11.05,12.89343142363604,1.5,未涨停卖出
SHSE.605255,天普股份,2024-01-24,19.0,19.87,18.85,19.75,19.95,13041303.0,252575262.68,21.95,17.96,false,false,1.09217843,9.7265,26.480800000000002,26.480800000000002,false,false,true,断板,断板,断板,2天1板,13.8673,19.369999999999997,18.96857142857143,-4.761904761904758,4.119596324747697,1936.7333362318168,false,-0.010025062656641603,16.91,断板,18.608571428571427,-0.02966926070038911,2001.103695371869,7.208659603869191,1,SHSE.605255,2024-01-24,2024-01-24T09:30:00.000000,19.0,2024-01-25T11:30:00.000000,19.45,1.5527364227301264,1.5,未涨停卖出
SHSE.605399,晨光新材,2024-01-24,16.61,16.79,15.42,16.15,17.1,31628537.0,507333630.73,18.81,15.39,false,false,1.75349719,10.1413,50.44111735,50.368243705,false,false,false,,未涨停,未涨停,4天4板,5.011033333333333,17.066,16.36857142857143,-2.8654970760234035,-1.335311572700304,1604.0376155558506,true,-0.05555555555555569,12.29,断板,15.870000000000001,0.024565608148591878,1666.2879992589153,7.7504725897920625,1,SHSE.605399,2024-01-24,2024-01-24T09:30:00.000000,16.61,2024-01-25T11:30:00.000000,15.66,-6.470685589970032,1.5,未涨停卖出
SZSE.000068,华控赛格,2024-01-24,4.01,4.55,3.99,4.55,4.14,117909267.0,522696513.82,4.55,3.73,false,false,1.56098445,11.7128,45.803551612,45.803551612,true,false,false,,涨停,5天3板,2天2板,5.28125,4.295999999999999,4.132857142857143,-3.140096618357486,10.093328724507435,443.3040142807435,false,0.09903381642512077,3.49,断板,4.004285714285714,0.009756097560975618,397.9439869499668,3.3892258294684376,1,SZSE.000068,2024-01-24,2024-01-24T09:30:00.000000,4.01,2024-01-30T11:30:00.000000,5.95,47.19674916294922,4.5,未涨停卖出
SHSE.600200,退市苏吴,2024-01-29,9.37,9.73,8.99,9.43,9.77,91589433.0,857862507.11,10.75,8.79,false,false,7.39796979,12.908,67.1685539576,66.9113315647,false,false,true,断板,断板,断板,3天3板,6.6776333333333335,9.78,9.391428571428571,-4.094165813715459,0.4107088530574959,936.6391722394438,false,-0.03480040941658136,8.11,断板,9.34142857142857,-0.10036832412523022,1031.0772527815807,4.587857470561251,1,SHSE.600200,2024-01-29,2024-01-29T09:30:00.000000,9.37,2024-01-30T11:30:00.000000,9.45,0.05017284118593486,1.5,未涨停卖出
SHSE.600621,华鑫股份,2024-01-29,17.01,17.2,15.76,15.76,17.51,125144682.0,2036677966.58,19.26,15.76,false,false,213.7999303,11.7961,167.19772841920002,167.19772841920002,false,false,true,断板,断板,断板,2天2板,10.341249999999999,15.964000000000002,15.312857142857142,-2.855511136493432,2.9200485119880613,1627.4586614715279,true,-0.09994288977727017,12.62,断板,15.111428571428572,0.028789659224441877,1768.740318310378,15.872565702401214,1,SHSE.600621,2024-01-29,2024-01-29T09:30:00.000000,17.01,2024-01-30T11:30:00.000000,15.16,-11.586107070834819,1.5,止损卖出
SZSE.000017,深中华A,2024-01-29,12.31,13.1,11.88,12.6,12.8,114693804.0,1430687473.1,14.08,11.52,false,false,2.10701766,37.8546,55.543565826000005,38.17610559,false,false,true,断板,断板,断板,13天12板,33.3986,12.8,12.308571428571428,-3.8281250000000018,2.367688022284126,1247.3973512117534,false,-0.01562500000000011,4.31,炸板,11.87857142857143,-0.05395417590539531,1390.4974549932506,7.7570655441972285,1,SZSE.000017,2024-01-29,2024-01-29T09:30:00.000000,12.31,2024-01-30T11:30:00.000000,12.82,3.3131487049365567,1.5,未涨停卖出
SZSE.002401,中远海科,2024-01-29,17.52,19.1,17.52,18.08,18.04,46627716.0,856970077.63,19.84,16.24,false,false,7.24175154,12.6632,67.240344448,66.5733300368,false,false,true,断板,断板,断板,2天1板,8.1273,16.830000000000002,16.247142857142858,-2.882483370288246,11.281104369999102,1837.8984671477367,false,0.0022172949002217113,14.21,炸板,15.87857142857143,0.030857142857142916,1851.3812842483132,13.61223571749886,1,SZSE.002401,2024-01-29,2024-01-29T09:30:00.000000,17.52,2024-01-30T11:30:00.000000,17.5,-0.9100583965507987,1.5,未涨停卖出
SZSE.002731,ST萃华,2024-01-29,12.54,12.74,11.7,11.7,13.0,21036410.0,251052005.05,14.3,11.7,false,false,1.73029875,8.6438,29.970252000000002,25.41276504,false,false,false,,未涨停,未涨停,7天3板,15.78895,12.854,12.895714285714286,-3.538461538461545,-9.272183449651054,1193.4165812988053,true,-0.10000000000000009,10.84,断板,12.95142857142857,-0.043414275202354635,1319.481613281623,0.3750275755570359,1,SZSE.002731,2024-01-29,2024-01-29T09:30:00.000000,12.54,2024-01-30T11:30:00.000000,10.62,-15.98581749556799,1.5,止损卖出
SHSE.600229,城市传媒,2024-03-06,7.78,8.29,7.61,7.64,8.01,62103963.0,489104973.66,8.81,7.21,false,false,1.29111398,9.2526,51.2802912,51.2802912,false,false,true,断板,断板,断板,2天2板,9.3123,7.734,7.468571428571429,-2.87141073657927,2.2953328232593644,787.5583940754312,false,-0.046192259675405745,5.04,断板,7.3585714285714285,-0.04869358669833734,808.2319352589047,8.852649970879439,1,SHSE.600229,2024-03-06,2024-03-06T09:30:00.000000,7.78,2024-03-07T11:30:00.000000,7.25,-7.55487049232378,1.5,未涨停卖出
