code,name,trading_date,open,high,low,close,pre_close,pct,volume,amount,limit_up,limit_down,is_st,is_suspended,adj_factor,turnover_rate,total_mv,circulation_mv,mv_A_free_float,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,avg_limit_turnover_5,sma_5,sma_7,open_pct,close_sma7_pct,vwap,touch_limit_down,lowest_30,trend_rsq_20,trend_slope_20,trend_rsq_60,trend_slope_60,trend_rsq_120,trend_slope_120,trend_slope,trend_rsq,stability_ewmvol_60,stability_maxdd_60,stability_up_ratio_60,trend_strength,trend_stability,trend_composite,prev_limit_status,prev_sma_7,pre_pct,pre_vwap,pre_close_sma7_pct,pre_trend_composite,pre_trend_rsq_60,pre_trend_strength,pre_trend_stability,pre_trend_slope,pre_amount,open_pre_vwap_pct,open_prev_sma7_pct,signal,code_right,trading_date_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,sell_reason
SZSE.002229,鸿博股份,2018-04-18,12.99,13.13,12.29,12.73,13.65,-0.06739926739926738,71588132.0,906639470.0,15.02,12.29,false,false,5.14149,17.233565542931515,64.0003567149,5288034667.52,40.5743050676,false,false,true,断板,断板,断板,3天2板,6.38231806984884,13.219999999999999,12.695714285714287,-4.835164835164836,0.27005738719477507,1266.466165090046,true,9.83,0.5975163396574742,0.011792669385915087,0.6882333623545425,0.005418731563776653,,,0.005067899659071344,0.4636199491087661,20.912416051098347,2.2082152486882776,0.5833333333333334,0.9669515669515669,0.42249848779912075,0.6947250273753438,炸板,12.662857142857144,-0.03669724770642202,1461.5140295316214,7.795577617328515,0.6900130091500875,0.6810511833340911,0.9646622969506982,0.4153637213494767,0.004808767765338991,1693006452.0,-11.119566849707429,2.5834837545126277,1,SZSE.002229,2018-04-18,2018-04-18T09:30:00.000000,12.99,2018-04-19T11:30:00.000000,12.8,-2.247821646439635,1.5,未涨停卖出
SZSE.002447,晨鑫退,2018-01-11,6.9,7.89,6.85,7.89,7.17,0.10041841004184104,201884575.0,1484506030.74,7.89,6.45,false,false,18.4125,20.937747781306822,112.6055277,7607643923.25,74.0609979075,true,false,false,,涨停,5天3板,2天2板,7.530744969662708,6.994,6.578571428571428,-3.7656903765690317,19.934853420195438,735.3241478404182,false,5.3,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,炸板,6.231428571428571,0.021367521367521514,740.009442615355,15.061898211829435,0.0,,0.0,0.0,0.0,1855203931.64,-6.757946552494076,10.729023383768933,1,SZSE.002447,2018-01-11,2018-01-11T09:30:00.000000,6.9,2018-01-12T11:30:00.000000,8.34,19.906461112073437,1.5,未涨停卖出
SZSE.002611,东方精工,2018-08-09,5.5,5.93,5.41,5.69,5.7,-0.0017543859649122862,60701416.0,343738014.0,6.27,5.13,false,false,6.95277,5.906608128660805,104.6190197624,5847536344.320001,39.891912434800005,false,false,true,断板,断板,断板,4天3板,4.365610891806884,5.630000000000001,5.401428571428572,-3.5087719298245648,5.342501983602215,566.2767636260742,false,4.42,0.6132638177680771,0.011398732766578774,0.8088474306347663,-0.019793253287634892,0.7673338386316468,-0.00828071343727794,-0.010101094121685073,0.7572766304604925,28.75494182315531,1.578534006495916,0.36666666666666664,0.057409502262443436,0.46789004949577623,0.2626497758791098,断板,5.2700000000000005,-0.027303754266211677,591.9096134830462,8.159392789373808,0.2533643929861035,0.8255624148365017,0.04751131221719457,0.4592174737550125,-0.01055774051176067,541042606.0,-7.080407637989239,4.364326375711558,1,SZSE.002611,2018-08-09,2018-08-09T09:30:00.000000,5.5,2018-08-10T11:30:00.000000,5.56,0.28540383918869167,1.5,未涨停卖出
SHSE.600856,退市中天,2018-09-25,5.51,6.06,5.51,5.89,5.69,0.03514938488576447,119733302.0,699549263.0,6.26,5.12,false,false,5.45578,8.91256038086622,80.4959429231,7912755915.73,54.815651416899996,false,false,true,断板,断板,断板,2天2板,2.6042161372671284,5.395999999999999,5.124285714285714,-3.1634446397188154,14.942849177585735,584.2562188755138,false,3.9,0.4247569267217353,0.011707624176792192,0.5981673918577698,-0.006466462804287323,0.8449888408262387,-0.009714053423165451,-0.0038059225937348575,0.6375317335211036,22.158296827852062,2.291390675972108,0.5,0.28225352112676055,0.3357491768405845,0.3090013489836725,炸板,4.947142857142857,0.010657193605683846,591.6930611263301,15.015882183078274,0.26509345355499203,0.6645966965012186,0.19808396731473654,0.33210293979524746,-0.004733541250636781,957568921.0,-6.877393669087139,11.377418423332376,1,SHSE.600856,2018-09-25,2018-09-25T09:30:00.000000,5.51,2018-09-26T11:30:00.000000,5.73,3.164113057750854,1.5,未涨停卖出
SZSE.000006,深振业A,2018-09-25,5.7,5.78,5.62,5.66,5.98,-0.053511705685618804,48111686.0,273651606.0,6.58,5.38,false,false,62.4052,3.5683009371096412,76.40971960360001,7631423121.52,50.3349340008,false,false,true,断板,断板,断板,2天2板,4.868762431377214,5.686,5.5042857142857144,-4.682274247491643,2.8289644432909418,568.78407046471,false,4.97,0.022164769105191738,0.0014565135650056987,0.07206245706031447,-0.000679447725671798,0.7780788419733972,-0.0033853703507842497,-0.0010640322550700342,0.2738878349432147,35.52012458597291,4.823076690456224,0.45,0.7284507042253521,0.0,0.36422535211267604,断板,5.428571428571429,-0.026058631921824005,603.0289317705293,10.157894736842108,0.3440405748098056,0.08263414720944635,0.6880811496196112,0.0,-0.0013759179620678756,470692701.0,-5.477171994642838,5.000000000000004,1,SZSE.000006,2018-09-25,2018-09-25T09:30:00.000000,5.7,2018-09-26T11:30:00.000000,5.66,-1.4929754665548451,1.5,未涨停卖出
SZSE.002938,鹏鼎控股,2018-09-25,25.0,25.0,23.56,23.71,26.17,-0.09400076423385562,63891504.0,1547096231.0,28.79,23.55,false,false,1.0,27.641538499516937,548.0402464736001,5480402474.22,54.804024742200006,false,false,true,断板,断板,断板,3天3板,0.16843910272570187,25.294,25.294,-4.470768055024844,-6.26235470862655,2421.442811864313,true,19.28,,,,,,,0.0,0.0,,,,0.892112676056338,0.0,0.446056338028169,断板,25.69,-0.06535714285714278,2715.797550474446,1.8684312962242136,0.4502676810369118,,0.9005353620738236,0.0,0.0,2524118732.0,-7.946010203770393,-2.685869988322309,1,SZSE.002938,2018-09-25,2018-09-25T09:30:00.000000,25.0,2018-09-26T11:30:00.000000,23.5,-6.749003984063755,1.5,未涨停卖出
SHSE.600812,华北制药,2018-07-27,5.33,5.5,5.13,5.27,5.51,-0.04355716878402904,44812046.0,236161022.0,6.06,4.96,false,false,3.7561,2.747848666558533,85.9434092183,8594340921.83,40.68606289579999,false,false,true,断板,断板,断板,2天2板,1.763227226942877,5.148,5.005714285714285,-3.2667876588021727,5.279680365296803,527.003435638712,false,3.95,0.6843010775758492,0.011000741739660463,0.07744180460885892,-0.0011905543773234606,0.07580631519804026,0.0005063868470450113,0.0017567872133838658,0.1983230123790114,28.6600587731908,2.9749999114937524,0.5,0.956989247311828,0.0,0.478494623655914,断板,4.934285714285714,0.007312614259597838,571.3938889405514,11.667631731325997,0.47538200339558573,0.10621751172864477,0.9507640067911715,0.0,0.0015064390491649172,451744420.0,-6.719338390499652,8.019687319050384,1,SHSE.600812,2018-07-27,2018-07-27T09:30:00.000000,5.33,2018-07-30T11:30:00.000000,5.14,-4.333136497163319,1.5,未涨停卖出
SZSE.002367,康力电梯,2018-03-20,11.05,11.33,10.79,11.03,11.38,-0.030755711775044103,59089148.0,651960503.0,12.52,10.24,false,false,6.07032,11.364168384293459,87.98109137609998,5735160553.7699995,45.5574662196,false,false,true,断板,断板,断板,2天2板,4.532774500517068,10.517999999999999,10.151428571428571,-2.899824253075572,8.654658035462985,1103.3506575522124,false,7.5,0.7931691480518722,0.01884513575558556,,,,,0.0037690271511171118,0.15863382961037445,,,,0.96,0.0,0.48,炸板,9.811428571428573,0.031731640979147935,1165.8965680473616,15.987186953989504,0.47785714285714287,,0.9557142857142857,0.0,0.0034265964648489706,1129756456.0,-5.223153555495131,12.623762376237613,1,SZSE.002367,2018-03-20,2018-03-20T09:30:00.000000,11.05,2018-03-21T11:30:00.000000,10.98,-1.42524922932706,1.5,未涨停卖出
SZSE.002611,东方精工,2018-08-07,5.14,5.86,5.01,5.86,5.33,0.09943714821763616,70049066.0,379023108.0,5.86,4.8,false,false,6.95277,6.81618996566237,107.74471982560001,6022243054.08,41.0837621912,true,false,false,,涨停,4天3板,2天2板,3.140321354879141,5.284000000000001,5.12,-3.564727954971865,14.453125000000004,541.0823150732659,false,4.42,0.3768987841653114,0.0073737298912289586,0.8392642832805913,-0.020058056136590396,0.7429093183866414,-0.007961804484405052,-0.010942823435370922,0.7178846939893504,28.642199756688967,1.578534006495916,0.4,0.0376131221719457,0.46061927950769643,0.24911620083982106,断板,4.968571428571429,-0.04308797127468589,566.9743598719989,7.274295572167907,0.24351464536166906,0.8515429542522016,0.028563348416289592,0.4584659423070485,-0.011571486007094288,559719424.0,-9.343343124715286,3.450258769407699,1,SZSE.002611,2018-08-07,2018-08-07T09:30:00.000000,5.14,2018-08-08T11:30:00.000000,6.08,17.345404374719035,1.5,未涨停卖出
SZSE.002161,远望谷,2018-05-29,7.63,8.69,7.38,8.69,7.9,0.09999999999999987,53636030.0,442630324.0,8.69,7.11,false,false,10.6969,7.68014686810699,64.28491806,6068856607.88,45.4685876733,true,false,false,,涨停,73天72板,71天71板,0.18319150423762706,7.787999999999999,7.491428571428571,-3.4177215189873476,15.999237223493514,825.2481102721435,false,6.75,0.4528925272769986,0.009283855905544694,0.16892427349463687,0.001195509930505181,,,0.002454526146361529,0.17504064220271814,44.36963156056066,4.479381242650398,0.05,0.8986371379897785,0.0,0.44931856899488926,断板,7.214285714285714,-0.033047735618115026,827.6216713605218,9.504950495049508,0.3992049971607041,0.13285010500786065,0.7984099943214082,0.0,0.0016025315162485115,332210848.0,-7.808117355637945,5.7623762376237675,1,SZSE.002161,2018-05-29,2018-05-29T09:30:00.000000,7.63,2018-05-30T11:30:00.000000,9.2,19.61590074825206,1.5,未涨停卖出
