code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_10,sma_7,open_pct,lowest_30,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_sma_10,prev_sma_5,pre_volume_ratio_5,pre_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,code_right,buy_date,buy_price,sell_date,sell_price,profit,holding_days,trading_date_right
SHSE.600655,stock,2021-01-13,2021-01-13T16:00:00.000+0800,13.63,13.11,14.93,13.1,14.21,14.99,12.27,149637408.0,2128535296.0,4.26,162.72508239746094,14.22,13589177206.92,1,false,false,true,断板,断板,断板,6天6板,13.818000000000001,11.844,13.098571428571429,-3.8151137197358866,7.96,0.8722764044040271,0.6010928961748642,0.39344262295081905,0.005464480874316823,1,断板,12.465714285714286,11.23,13.344,0.9102370697008614,-2.01,0.10000000000000113,0.7454545454545444,0.15454545454545454,1,SHSE.600655,2021-01-13 09:30,13.11,2021-01-14 11:28:00,13.48,2.7605982126033815,1.49,2021-01-13
SHSE.600776,stock,2021-01-13,2021-01-13T16:00:00.000+0800,12.69,12.23,13.6,12.2,13.32,13.96,11.42,45022920.0,585782016.0,4.96,4.7112956047058105,13.01,5466321699.84,1,false,false,true,断板,断板,断板,1天1板,12.302000000000001,12.003,12.057142857142859,-3.6249014972419156,10.8,1.5077137966944378,0.7785714285714282,0.19999999999999948,0.021428571428572234,1,断板,11.848571428571429,11.867,11.882000000000001,1.6832886306489427,1.68,0.33766233766233755,0.6493506493506497,0.012987012987012717,1,SHSE.600776,2021-01-13 09:30,12.23,2021-01-14 11:28:00,13.14,7.3762744439137675,1.49,2021-01-13
SHSE.601908,stock,2021-01-13,2021-01-13T16:00:00.000+0800,13.85,13.5,13.82,12.47,12.47,15.24,12.47,167759536.0,2192853504.0,-9.96,4.308476448059082,13.07,10551359203.37,1,false,false,true,断板,断板,断板,4天2板,13.416,12.235,13.057142857142859,-2.5270758122743655,6.18,0.9343206000128141,0.7629629629629627,0.23703703703703732,0.0,-1,断板,12.821428571428571,11.937999999999999,13.469999999999999,1.088424420079728,6.05,0.5485436893203882,0.043689320388349474,0.40776699029126234,1,SHSE.601908,2021-01-13 09:30,13.5,2021-01-14 09:30:00,12.0,-11.164428449242992,1.0,2021-01-13
SZSE.000718,stock,2021-01-13,2021-01-13T16:00:00.000+0800,4.49,4.31,4.47,4.05,4.06,4.94,4.04,132518200.0,555500032.0,-9.58,8.05556869506836,4.19,3841983712.4199996,1,false,false,true,断板,断板,断板,5天4板,4.452,4.029,4.298571428571429,-4.008908685968833,3.16,0.8612642148416136,0.5952380952380953,0.3809523809523814,0.023809523809523305,-1,断板,4.202857142857143,3.9479999999999995,4.459999999999999,1.4332035605321995,-6.85,0.12195121951219465,0.5121951219512193,0.3658536585365861,-1,SZSE.000718,2021-01-13 09:30,4.31,2021-01-14 11:28:00,3.83,-11.190192826142857,1.49,2021-01-13
SHSE.600189,stock,2021-01-14,2021-01-14T16:00:00.000+0800,16.6,16.0,16.62,14.94,14.94,18.26,14.94,52303744.0,810106368.0,-10.0,2.6553702354431152,15.49,4303188264.42,1,false,false,true,断板,断板,断板,11天7板,16.236,15.537,15.700000000000001,-3.6144578313253093,7.72,0.725026587580347,0.6309523809523807,0.3690476190476193,0.0,-1,断板,15.654285714285715,15.378,16.15,1.1257821430458963,-5.9,0.39179104477611837,0.3432835820895529,0.2649253731343287,-1,SHSE.600189,2021-01-14 09:30,16.0,2021-01-15 11:28:00,14.49,-9.491821203638922,1.49,2021-01-14
SHSE.600343,stock,2021-01-14,2021-01-14T16:00:00.000+0800,11.28,10.9,10.99,10.15,10.16,12.41,10.15,36755720.0,386058976.0,-9.93,3.0603482723236084,10.5,3645059959.04,1,false,false,true,断板,断板,断板,1天1板,10.517999999999999,10.414,10.545714285714284,-3.3687943262411264,8.61,1.1412509445137546,0.8809523809523814,0.107142857142857,0.011904761904761653,-1,断板,10.569999999999999,10.34,10.591999999999999,1.9625003347110361,2.17,0.3440860215053761,0.3978494623655918,0.2580645161290321,-1,SHSE.600343,2021-01-14 09:30,10.9,2021-01-15 11:28:00,10.14,-7.028276838049509,1.49,2021-01-14
SHSE.600862,stock,2021-01-14,2021-01-14T16:00:00.000+0800,39.14,37.99,38.34,35.41,36.7,43.05,35.23,36831960.0,1357566208.0,-6.23,6.822384834289551,36.86,22578833505.7,1,false,false,true,断板,断板,断板,1天1板,38.0,35.438,37.324285714285715,-2.9381706693919227,24.11,0.9864968701724356,0.4402730375426608,0.11945392491467598,0.4402730375426632,-1,断板,36.54571428571428,34.7,38.118,1.0117615783231877,-1.95,0.6886227544910178,0.137724550898204,0.17365269461077812,-1,SHSE.600862,2021-01-14 09:30,37.99,2021-01-15 11:28:00,36.73,-3.3746548843980664,1.49,2021-01-14
SHSE.600879,stock,2021-01-14,2021-01-14T16:00:00.000+0800,9.08,8.74,8.85,8.17,8.17,9.99,8.17,247494128.0,2065193600.0,-10.02,34.743106842041016,8.34,15378970873.92,1,false,false,true,断板,断板,断板,1天1板,8.424,8.213,8.360000000000001,-3.744493392070483,6.32,1.2396873596790883,0.8382352941176479,0.16176470588235217,0.0,-1,炸板,8.354285714285714,8.121,8.424,2.2350997108693886,3.77,0.6875000000000002,0.0,0.3124999999999997,-1,SHSE.600879,2021-01-14 09:30,8.74,2021-01-15 09:30:00,7.92,-9.436505432809518,1.0,2021-01-14
SZSE.000712,stock,2021-01-14,2021-01-14T16:00:00.000+0800,16.04,15.51,15.7,14.44,14.7,17.64,14.44,55077344.0,826896448.0,-8.35,13.1515474319458,15.01,6566036813.7,1,false,false,true,断板,断板,断板,1天1板,15.035999999999998,15.218,15.01142857142857,-3.3042394014962553,14.01,1.3944224392611004,0.6428571428571433,0.15079365079365042,0.20634920634920623,-1,炸板,15.134285714285713,15.279,15.041999999999998,2.684250019970267,2.23,0.8905109489051106,0.0,0.10948905109488939,-1,SZSE.000712,2021-01-14 09:30,15.51,2021-01-15 11:28:00,14.62,-5.794773495739798,1.49,2021-01-14
SZSE.002375,stock,2021-01-14,2021-01-14T16:00:00.000+0800,8.3,8.03,8.74,8.03,8.39,9.13,7.47,32338756.0,273282560.0,1.08,6.126225471496582,8.45,5195953705.37,1,false,false,true,断板,断板,断板,2天2板,8.136,7.571,7.7442857142857155,-3.2530120481927867,6.58,0.9546289162707698,0.5070422535211279,0.49295774647887214,0.0,1,断板,7.535714285714286,7.462000000000001,7.8,1.3173629697581437,-2.24,0.23170731707317005,0.4756097560975615,0.29268292682926844,-1,SZSE.002375,2021-01-14 09:30,8.03,2021-01-15 11:28:00,8.59,6.909683010414451,1.49,2021-01-14
