code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_10,sma_7,open_pct,lowest_30,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_sma_10,prev_sma_5,pre_volume_ratio_5,pre_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,signal,code_right,buy_date,buy_price,sell_date,sell_price,profit,holding_days,trading_date_right
SHSE.600655,stock,2021-01-13,2021-01-13T16:00:00.000+0800,13.63,13.11,14.93,13.1,14.21,14.99,12.27,149637408.0,2128535296.0,4.26,162.72508239746094,14.22,13589177206.92,1,false,false,true,断板,断板,断板,6天6板,13.818000000000001,11.844,13.098571428571429,-3.8151137197358866,7.96,0.8722764044040271,0.6010928961748642,0.39344262295081905,0.005464480874316823,1,断板,12.465714285714286,11.23,13.344,0.9102370697008614,-2.01,0.10000000000000113,0.7454545454545444,0.15454545454545454,1,1,SHSE.600655,2021-01-13 09:30,13.11,2021-01-14 11:28:00,13.48,2.7605982126033815,1.49,2021-01-13
SHSE.601908,stock,2021-01-13,2021-01-13T16:00:00.000+0800,13.85,13.5,13.82,12.47,12.47,15.24,12.47,167759536.0,2192853504.0,-9.96,4.308476448059082,13.07,10551359203.37,1,false,false,true,断板,断板,断板,4天2板,13.416,12.235,13.057142857142859,-2.5270758122743655,6.18,0.9343206000128141,0.7629629629629627,0.23703703703703732,0.0,-1,断板,12.821428571428571,11.937999999999999,13.469999999999999,1.088424420079728,6.05,0.5485436893203882,0.043689320388349474,0.40776699029126234,1,1,SHSE.601908,2021-01-13 09:30,13.5,2021-01-14 09:30:00,12.0,-11.164428449242992,1.0,2021-01-13
SZSE.000718,stock,2021-01-13,2021-01-13T16:00:00.000+0800,4.49,4.31,4.47,4.05,4.06,4.94,4.04,132518200.0,555500032.0,-9.58,8.05556869506836,4.19,3841983712.4199996,1,false,false,true,断板,断板,断板,5天4板,4.452,4.029,4.298571428571429,-4.008908685968833,3.16,0.8612642148416136,0.5952380952380953,0.3809523809523814,0.023809523809523305,-1,断板,4.202857142857143,3.9479999999999995,4.459999999999999,1.4332035605321995,-6.85,0.12195121951219465,0.5121951219512193,0.3658536585365861,-1,1,SZSE.000718,2021-01-13 09:30,4.31,2021-01-14 11:28:00,3.83,-11.190192826142857,1.49,2021-01-13
SHSE.600189,stock,2021-01-14,2021-01-14T16:00:00.000+0800,16.6,16.0,16.62,14.94,14.94,18.26,14.94,52303744.0,810106368.0,-10.0,2.6553702354431152,15.49,4303188264.42,1,false,false,true,断板,断板,断板,11天7板,16.236,15.537,15.700000000000001,-3.6144578313253093,7.72,0.725026587580347,0.6309523809523807,0.3690476190476193,0.0,-1,断板,15.654285714285715,15.378,16.15,1.1257821430458963,-5.9,0.39179104477611837,0.3432835820895529,0.2649253731343287,-1,1,SHSE.600189,2021-01-14 09:30,16.0,2021-01-15 11:28:00,14.49,-9.491821203638922,1.49,2021-01-14
SZSE.002375,stock,2021-01-14,2021-01-14T16:00:00.000+0800,8.3,8.03,8.74,8.03,8.39,9.13,7.47,32338756.0,273282560.0,1.08,6.126225471496582,8.45,5195953705.37,1,false,false,true,断板,断板,断板,2天2板,8.136,7.571,7.7442857142857155,-3.2530120481927867,6.58,0.9546289162707698,0.5070422535211279,0.49295774647887214,0.0,1,断板,7.535714285714286,7.462000000000001,7.8,1.3173629697581437,-2.24,0.23170731707317005,0.4756097560975615,0.29268292682926844,-1,1,SZSE.002375,2021-01-14 09:30,8.03,2021-01-15 11:28:00,8.59,6.909683010414451,1.49,2021-01-14
SZSE.002466,stock,2021-01-14,2021-01-14T16:00:00.000+0800,59.5,57.3,59.14,53.55,54.33,65.45,53.55,154714912.0,8640520192.0,-8.69,7.752445220947266,55.85,51746144684.79,1,false,false,true,断板,断板,断板,5天3板,55.71,49.593,53.26571428571429,-3.6974789915966437,24.58,0.9420937226045821,0.5313059033989261,0.32915921288014355,0.13953488372093034,-1,断板,51.47571428571428,48.089999999999996,54.724000000000004,1.038686641692062,2.91,0.12539184952978008,0.5000000000000006,0.3746081504702194,-1,1,SZSE.002466,2021-01-14 09:30,57.3,2021-01-15 11:28:00,54.41,-5.1005867524210515,1.49,2021-01-14
SZSE.000301,stock,2021-01-15,2021-01-15T16:00:00.000+0800,12.74,12.13,12.45,11.47,11.47,14.01,11.47,190323680.0,2193690880.0,-9.97,2.0945801734924316,11.53,8687787157.84,1,false,false,true,断板,断板,断板,5天3板,12.974,11.797,12.592857142857143,-4.788069073783355,8.98,2.163060612487092,0.6734693877551031,0.3265306122448969,0.0,-1,断板,12.495714285714286,11.598,13.047999999999998,0.9250658361104388,-4.35,0.24752475247524758,0.6633663366336634,0.089108910891089,-1,1,SZSE.000301,2021-01-15 09:30,12.13,2021-01-20 11:28:00,13.9,14.523186325223634,3.49,2021-01-15
SHSE.601766,stock,2021-01-18,2021-01-18T16:00:00.000+0800,7.14,6.96,7.44,6.95,7.28,7.85,6.43,534118784.0,3848919552.0,1.96,1.2420724630355835,7.21,69410366276.16,1,false,false,true,断板,断板,断板,2天2板,7.06,6.470999999999999,6.761428571428572,-2.521008403361341,5.24,0.814873508641997,0.6530612244897962,0.3265306122448981,0.02040816326530568,1,断板,6.598571428571428,6.271,6.831999999999999,1.4195558661218326,-6.42,0.767441860465117,0.0,0.23255813953488305,-1,1,SHSE.601766,2021-01-18 09:30,6.96,2021-01-19 11:28:00,7.03,0.9451618537427381,1.49,2021-01-18
SHSE.600185,stock,2021-01-19,2021-01-19T16:00:00.000+0800,7.1,6.9,7.39,6.63,7.05,7.81,6.39,140932784.0,982846592.0,-0.7,7.175383567810059,6.97,6629153965.349999,1,false,false,true,断板,断板,断板,3天3板,7.086,6.351,6.687142857142857,-2.8169014084506943,5.11,1.0094370218859787,0.19736842105263094,0.4473684210526315,0.35526315789473756,1,断板,6.472857142857142,6.214,6.868,1.156982059967311,-5.33,0.044943820224719114,0.617977528089888,0.33707865168539286,1,1,SHSE.600185,2021-01-19 09:30,6.9,2021-01-20 11:28:00,7.0,1.3884240524943974,1.49,2021-01-19
SHSE.603110,stock,2021-01-20,2021-01-20T16:00:00.000+0800,43.9,42.0,48.28,41.95,48.03,48.29,39.51,8124332.0,374857120.0,9.41,1.483870267868042,46.14,3159911519.13,1,false,true,false,,炸板,8天3板,5天3板,42.486000000000004,38.382,40.97428571428571,-4.328018223234621,19.25,1.2526687121152198,0.9526066350710904,0.039494470774091635,0.007898894154817879,1,断板,38.96857142857142,36.763999999999996,40.28,1.0313229221173223,5.78,0.7024128686327077,0.0,0.2975871313672923,1,1,SHSE.603110,2021-01-20 09:30,42.0,2021-01-21 11:28:00,47.01,11.861434426814817,1.49,2021-01-20
