datetime,code,side,price,volume,fee
2021-01-04,SHSE.603500,buy,11.4,900,3.078
2021-01-04,SZSE.002066,buy,8.8,1200,3.1679999999999997
2021-01-04,SHSE.600857,buy,8.82,1200,3.1752
2021-01-11,SZSE.002781,buy,8.0,600,1.44
2021-01-11,SHSE.600576,buy,3.36,1600,1.6127999999999998
2021-01-11,SHSE.603900,buy,6.21,800,1.4904
2021-01-18,SZSE.000701,buy,4.55,1200,1.638
2021-01-18,SZSE.300074,buy,3.65,1400,1.533
2021-01-18,SHSE.603009,buy,5.54,900,1.4957999999999998
2021-01-25,SZSE.300745,buy,18.0,300,1.6199999999999999
2021-01-25,SZSE.002809,buy,9.93,500,1.4894999999999998
2021-01-25,SHSE.600540,buy,4.2,1300,1.638
2021-02-01,SZSE.300472,buy,10.7,500,1.6049999999999998
2021-02-01,SHSE.603022,buy,9.99,500,1.4985
2021-02-01,SZSE.000151,buy,7.37,700,1.5476999999999999
2021-02-08,SZSE.000554,buy,4.06,500,0.6089999999999999
2021-02-08,SZSE.000610,buy,8.23,200,0.49379999999999996
2021-02-22,SZSE.300105,buy,3.78,200,0.22679999999999997
2021-02-22,SZSE.002566,buy,6.02,100,0.18059999999999998
2021-02-22,SZSE.002620,buy,5.27,100,0.1581
2021-03-01,SHSE.600159,buy,2.36,100,0.07079999999999999
2021-03-08,SHSE.600159,buy,2.42,100,0.0726
