week_end_date,limit_up_ratio,limit_down_ratio,net_limit_ratio,total_signal_count,base_position,weighted_position,trend_position,benchmark_value_weight_ret,base_model_ret,trend_model_ret,weighted_model_ret
2018-01-05,0.011090847843696091,0.0007922375123909111,0.010298610331305181,3,1.0,0.0,1.0,0.026047780788604813,0.01018607242560754,0.01018607242560754,0.0
2018-01-12,0.012259672055102032,0.0003453403080644293,0.011914331747037602,4,1.0,0.8,1.0,0.01018607242560754,0.008183604795857002,0.008183604795857002,0.006546883836685603
2018-01-19,0.011727939919453319,0.004025137720101858,0.007702802199351461,3,1.0,0.0,1.0,0.008183604795857002,0.020894346903628458,0.020894346903628458,0.0
2018-01-26,0.009934559113636676,0.0032159651541702854,0.00671859395946639,2,0.75,0.0,1.0,0.020894346903628458,-0.028732217870867993,-0.03830962382782399,-0.0
2018-02-02,0.007172532529650074,0.027364193618100108,-0.02019166108845003,1,0.5,0.0,1.0,-0.03830962382782399,-0.04195481841334309,-0.08390963682668617,-0.0
2018-02-09,0.009050471016717205,0.04044489759888757,-0.031394426582170364,1,0.5,0.0,1.0,-0.08390963682668617,0.014524587763591335,0.02904917552718267,0.0
2018-02-14,0.013833237931692425,0.004388475481778287,0.009444762449914138,2,0.75,0.0,1.0,0.02904917552718267,0.005490847270414656,0.007321129693886208,0.0
2018-03-02,0.01538156162022743,0.0016586139353609748,0.013722947684866454,2,0.75,0.0,1.0,0.007321129693886208,0.0193392249398599,0.025785633253146534,0.0
2018-03-09,0.015995429877177947,0.00045701228220508425,0.015538417594972865,3,1.0,0.0,1.0,0.025785633253146534,-0.009948746323573676,-0.009948746323573676,-0.0
2018-03-16,0.010397029420165666,0.000856898029134533,0.009540131391031135,1,0.5,0.0,1.0,-0.009948746323573676,-0.019888884895974956,-0.03977776979194991,-0.0
2018-03-23,0.013481291385948146,0.027870049692908173,-0.014388758306960025,1,0.5,0.0,1.0,-0.03977776979194991,0.013055270177449452,0.026110540354898903,0.0
2018-03-30,0.019977529479624865,0.0014841160562856098,0.01849341342333925,3,1.0,0.0,1.0,0.026110540354898903,-0.010472096364259609,-0.010472096364259609,-0.0
2018-04-04,0.01730071489867357,0.0012357053204052873,0.01606500957826829,2,0.75,0.0,1.0,-0.010472096364259609,0.006087521632546333,0.008116695510061778,0.0
2018-04-13,0.015108324526175231,0.003990553107646894,0.011117771418528339,2,0.75,0.0,1.0,0.008116695510061778,-0.019482228444338612,-0.025976304592451482,-0.0
2018-04-20,0.009172702468143983,0.004785302820863484,0.004387399647280501,1,0.5,0.0,1.0,-0.025976304592451482,0.0021807175081661745,0.004361435016332349,0.0
2018-04-27,0.012982466646068636,0.005522086952143802,0.007460379693924833,2,0.75,0.0,1.0,0.004361435016332349,0.004620408221220618,0.0061605442949608236,0.0
2018-05-04,0.011284969179706021,0.0057847321005215745,0.005500237079184449,2,0.75,0.0,1.0,0.0061605442949608236,0.01828396210028921,0.024378616133718944,0.0
2018-05-11,0.015240150228704116,0.0015353349958258582,0.013704815232878259,2,0.75,0.0,1.0,0.024378616133718944,0.00690904157486022,0.00921205543314696,0.0
2018-05-18,0.01040065039896015,0.0023870419476347848,0.008013608451325366,3,1.0,0.0,1.0,0.00921205543314696,-0.010460606448672416,-0.010460606448672416,-0.0
2018-05-25,0.012327044622168683,0.0014769177603098271,0.010850126861858853,3,1.0,0.0,1.0,-0.010460606448672416,-0.023634390082746037,-0.023634390082746037,-0.0
2018-06-01,0.011240420096508658,0.015384615384615385,-0.004144195288106726,0,0.0,0.0,0.0,-0.023634390082746037,0.0,0.0,0.0
2018-06-08,0.009196320724230555,0.004087312723297493,0.00510900800093306,3,1.0,0.0,1.0,0.00659001684158711,-0.016708450811819375,-0.016708450811819375,-0.0
2018-06-15,0.009298772280382627,0.0092978077384674,9.645419152277957e-7,1,0.5,0.0,1.0,-0.016708450811819375,-0.021747019315464244,-0.04349403863092849,-0.0
2018-06-22,0.010129485756955681,0.09133654674404992,-0.08120706098709425,2,0.75,0.0,1.0,-0.04349403863092849,-0.0017457295755411717,-0.0023276394340548956,-0.0
2018-06-29,0.016366429934766426,0.005606674806831452,0.010759755127934974,3,1.0,0.0,1.0,-0.0023276394340548956,-0.035333356471136224,-0.035333356471136224,-0.0
