factor,horizon,group,mean_return,win_rate,n_obs,因子
limit_up_ratio,1,G1,-0.001367046559554167,0.4942528735632184,87,涨停占比
limit_up_ratio,1,G2,0.0021561896909833536,0.5977011494252874,87,涨停占比
limit_up_ratio,1,G3,0.0013510475595943446,0.6666666666666666,87,涨停占比
limit_up_ratio,1,G4,0.0030741989854871305,0.6666666666666666,87,涨停占比
limit_up_ratio,1,G5,0.007475516787993528,0.6896551724137931,87,涨停占比
limit_up_ratio,3,G1,0.001814480172463118,0.4942528735632184,87,涨停占比
limit_up_ratio,3,G2,0.005271491938148638,0.632183908045977,87,涨停占比
limit_up_ratio,3,G3,0.00215979430420017,0.6206896551724138,87,涨停占比
limit_up_ratio,3,G4,0.0046528425835238,0.6781609195402298,87,涨停占比
limit_up_ratio,3,G5,0.009259161703240345,0.6781609195402298,87,涨停占比
limit_up_ratio,5,G1,0.005025980031521855,0.5402298850574713,87,涨停占比
limit_up_ratio,5,G2,0.0038645288715807853,0.5977011494252874,87,涨停占比
limit_up_ratio,5,G3,0.0015608944854240347,0.5977011494252874,87,涨停占比
limit_up_ratio,5,G4,0.0072714603626741385,0.6551724137931034,87,涨停占比
limit_up_ratio,5,G5,0.010124996350917044,0.6436781609195402,87,涨停占比
limit_up_ratio,10,G1,0.01222064849677967,0.5402298850574713,87,涨停占比
limit_up_ratio,10,G2,0.008253789263934727,0.5747126436781609,87,涨停占比
limit_up_ratio,10,G3,0.008868288797682537,0.6511627906976745,86,涨停占比
limit_up_ratio,10,G4,0.01048042080651792,0.632183908045977,87,涨停占比
limit_up_ratio,10,G5,0.017801924413409137,0.7586206896551724,87,涨停占比
limit_down_ratio,1,G1,0.0013575794349848058,0.5977011494252874,87,跌停占比
limit_down_ratio,1,G2,0.002399550463788758,0.632183908045977,87,跌停占比
limit_down_ratio,1,G3,0.0002477997939178115,0.5862068965517241,87,跌停占比
limit_down_ratio,1,G4,0.003776055139434482,0.7011494252873564,87,跌停占比
limit_down_ratio,1,G5,0.004908921632378332,0.5977011494252874,87,跌停占比
limit_down_ratio,3,G1,0.006540043762458444,0.6551724137931034,87,跌停占比
limit_down_ratio,3,G2,0.00767681931162501,0.6551724137931034,87,跌停占比
limit_down_ratio,3,G3,0.0005446551317861017,0.5862068965517241,87,跌停占比
limit_down_ratio,3,G4,0.004568619867579402,0.632183908045977,87,跌停占比
limit_down_ratio,3,G5,0.0038276326281271133,0.5747126436781609,87,跌停占比
limit_down_ratio,5,G1,0.008720296759902973,0.6781609195402298,87,跌停占比
limit_down_ratio,5,G2,0.00922596859583942,0.6206896551724138,87,跌停占比
limit_down_ratio,5,G3,0.0026382408614991654,0.5632183908045977,87,跌停占比
limit_down_ratio,5,G4,0.0020722982766299904,0.5747126436781609,87,跌停占比
limit_down_ratio,5,G5,0.005191055608246308,0.5977011494252874,87,跌停占比
limit_down_ratio,10,G1,0.014510444009957237,0.6896551724137931,87,跌停占比
limit_down_ratio,10,G2,0.009088711823891267,0.6091954022988506,87,跌停占比
limit_down_ratio,10,G3,0.012649646176364967,0.5813953488372093,86,跌停占比
limit_down_ratio,10,G4,0.008574812241125981,0.6666666666666666,87,跌停占比
limit_down_ratio,10,G5,0.012844921404900428,0.6091954022988506,87,跌停占比
net_limit_ratio,1,G1,-0.0013436181047915246,0.5057471264367817,87,净涨停占比
net_limit_ratio,1,G2,0.0015808904306618492,0.5747126436781609,87,净涨停占比
net_limit_ratio,1,G3,0.003772426728103041,0.7011494252873564,87,净涨停占比
net_limit_ratio,1,G4,0.0016583001942470082,0.6206896551724138,87,净涨停占比
net_limit_ratio,1,G5,0.0070219072162838155,0.7126436781609196,87,净涨停占比
net_limit_ratio,3,G1,0.0032194118814455773,0.5402298850574713,87,净涨停占比
net_limit_ratio,3,G2,0.003705759655414073,0.5632183908045977,87,净涨停占比
net_limit_ratio,3,G3,0.00652088515455905,0.7126436781609196,87,净涨停占比
net_limit_ratio,3,G4,0.0011403792192970783,0.5747126436781609,87,净涨停占比
net_limit_ratio,3,G5,0.008571334790860294,0.7126436781609196,87,净涨停占比
net_limit_ratio,5,G1,0.006888070412022589,0.6206896551724138,87,净涨停占比
net_limit_ratio,5,G2,0.004622400983281206,0.5977011494252874,87,净涨停占比
net_limit_ratio,5,G3,0.004449455188922626,0.6206896551724138,87,净涨停占比
