week_id,week_end_date,trading_days_in_week,max_daily_stock_count,limit_up_count,limit_down_count,limit_up_next_ret,limit_down_next_ret,limit_up_event_count,limit_down_event_count,limit_up_ratio,limit_down_ratio,net_limit_ratio,market_week_end_date,benchmark_value_weight_ret,future_return_1d,future_return_3d,future_return_5d,future_return_10d,chase_ret,chase_trade_count,signal_net_limit_ratio,signal_limit_down_next_ret,signal_limit_up_ratio,signal_limit_down_ratio,signal_chase_ret,total_signal_count,base_position,next_week_ret,return_week_end_date,base_model_ret,weighted_signal_value,weighted_position,weighted_model_ret,benchmark_nav,ma_10,ma_20,ma_60,signal_ma20,market_trend,trend_buy_signal,trend_position,trend_model_ret
2018-01,2018-01-05,4,3202,154,11,0.03134401731173044,-0.05051491690882015,125,9,0.048094940662086194,0.003435352904434728,0.04465958775765147,2018-01-05,0.01261017867734604,0.004039911154313014,0.006198464413595284,0.008210041521017786,0.012881737783247305,0.0164172607404806,262,1,0,0,1,1,3,1.0,0.008210041521018008,2018-01-12,0.008210041521018008,0.6499999999999999,0.8,0.006568033216814407,1.012610178677346,,,,,sideways,true,1.0,0.008210041521018008
2018-02,2018-01-12,5,3208,213,6,0.043912750775118116,0.041048466864490596,181,1,0.06639650872817955,0.0018703241895261845,0.06452618453865337,2018-01-12,0.008210041521018008,-0.010583943519148487,-0.0029442222692580566,0.0046336537723643545,0.023358753531199428,0.007239238844454401,344,1,1,0,1,1,4,1.0,0.0046336537723641325,2018-01-19,0.0046336537723641325,0.75,1.0,0.0046336537723641325,1.0209237502888926,,,,,sideways,true,1.0,0.0046336537723641325
2018-03,2018-01-19,5,3217,204,70,0.031720414895976774,-0.03398927509447118,166,60,0.06341311781162574,0.021759403170655892,0.04165371464096985,2018-01-19,0.0046336537723641325,0.007147447969968024,0.02100397341287552,0.018638734317253824,-0.024478782094479845,0.006139873443364271,334,1,0,0,0,1,2,0.75,0.018638734317253824,2018-01-26,0.013979050737940368,0.44999999999999996,0.0,0.0,1.0256543574757149,,,,,sideways,false,0.0,0.0
2018-04,2018-01-26,5,3218,173,56,0.022290207647550034,-0.02446743421804941,150,49,0.053760099440646365,0.01740211311373524,0.036357986326911125,2018-01-26,0.018638734317253824,-0.012048029085944156,-0.02770062343829416,-0.04232856552488473,-0.12701956741340237,0.004349939530275661,295,0,0,0,0,1,1,0.5,-0.04232856552488484,2018-02-02,-0.02116428276244242,0.3,0.0,-0.0,1.0447712565460383,,,,,sideways,false,0.0,-0.0
2018-05,2018-02-02,5,3205,125,477,0.021830522156363025,-0.04760979105352451,98,415,0.0390015600624025,0.14882995319812792,-0.10982839313572543,2018-02-02,-0.04232856552488484,0.0012671366846137566,-0.04935013972038915,-0.08843429890433707,-0.04016325533331144,0.00005698860715837523,211,0,0,0,0,1,1,0.5,-0.08843429890433707,2018-02-09,-0.044217149452168536,0.3,0.0,-0.0,1.0005475879548131,,,,,sideways,false,0.0,-0.0
2018-06,2018-02-09,5,3109,158,706,0.020318553280290346,-0.014458332199201823,136,604,0.0508201994210357,0.22708266323576712,-0.17626246381473143,2018-02-09,-0.08843429890433707,0.015303301473849729,0.02723986158178615,0.05295399279833135,0.05824132365770329,-0.007850438278734745,305,0,0,0,0,0,0,0.0,0.027239861581786373,2018-02-14,0.0,0.0,0.0,0.0,0.9120648634936037,,,,,sideways,false,0.0,0.0
2018-07,2018-02-14,3,3125,145,46,-0.0022538914184973583,-0.07202256697883469,115,28,0.0464,0.01472,0.03168,2018-02-14,0.027239861581786373,0.02045389343449977,0.041839103468830574,0.028640697876641363,0.03726750529190559,0.008105313710564803,267,0,0,0,0,1,1,0.5,0.025032256027282207,2018-02-23,0.012516128013641104,0.3,0.0,0.0,0.9369093841287803,,,,,sideways,false,0.0,0.0
2018-08,2018-02-23,2,3143,71,18,0.023630199863788122,-0.05431356830721461,42,11,0.02258988227807827,0.005727012408526885,0.016862869869551385,2018-02-23,0.025032256027282207,0.016396408349808267,0.0035203202905480513,0.005021426287885822,0.029199926672136556,0.00011181639920760061,163,0,0,0,1,1,2,0.75,0.0050214262878856,2018-03-02,0.0037660697159142,0.5,0.0,0.0,0.9603623397066553,,,,,sideways,false,0.0,0.0
2018-09,2018-03-02,5,3174,269,29,0.022249823824473925,-0.039671425943398564,233,25,0.0847511027095148,0.009136735979836169,0.07561436672967864,2018-03-02,0.0050214262878856,0.0024773319436879326,0.0068804768240120495,0.024057696434946374,0.012210637423378579,0.005667644272357825,456,1,0,1,1,1,4,1.0,0.024057696434946374,2018-03-09,0.024057696434946374,0.9000000000000001,1.0,0.024057696434946374,0.9651847284051536,,,,,sideways,true,1.0,0.024057696434946374
2018-10,2018-03-09,5,3174,280,8,0.03481871560419846,-0.03153168716078236,208,7,0.08821676118462508,0.002520478890989288,0.0856962822936358,2018-03-09,0.024057696434946374,0.008616085206350821,-0.004332768290946198,-0.011568741734778287,-0.05340735010260289,0.007365650481972982,453,1,0,1,1,1,4,1.0,-0.011568741734778287,2018-03-16,-0.011568741734778287,0.9000000000000001,1.0,-0.011568741734778287,0.9884048496047709,0.9867433296281769,,,,sideways,true,1.0,-0.011568741734778287
